phase_count;min;max;mean;q25;q50;q75
10;0.0056974999606609344;0.009655400062911212;0.007362200017087162;0.006248400080949068;0.00752510002348572;0.007684599957428873
11;0.006846899981610477;0.009691599989309907;0.008084739977493881;0.007521799998357892;0.007811799994669855;0.00855159992352128
12;0.00865410000551492;0.010640699998475611;0.00961252001579851;0.009370199986733496;0.009496700018644333;0.009900900069624186
14;0.011380199925042689;0.012528900057077408;0.01188267997931689;0.011562899919226766;0.011806200025603175;0.012135199969634414
15;0.011143999989144504;0.013647399959154427;0.012411660002544522;0.012388200033456087;0.012419300037436187;0.012459399993531406
17;0.014176400029100478;0.015873999916948378;0.014968780009076;0.014515800052322447;0.015000600018538535;0.015277100028470159
20;0.012904500006698072;0.01782359997741878;0.01630562001373619;0.016238100011833012;0.017149100080132484;0.017412799992598593
22;0.01800740009639412;0.01928040001075715;0.018907200056128205;0.018955200095660985;0.019104500068351626;0.01918850000947714
25;0.021276699961163104;0.024632500018924475;0.02212061998434365;0.021339799975976348;0.021477799979038537;0.021876299986615777
28;0.023001700057648122;0.024148099939338863;0.02354891998693347;0.0232313999440521;0.023445500060915947;0.023917899932712317
31;0.023863099981099367;0.025818100082688034;0.024946580012328922;0.024725800030864775;0.024884399957954884;0.025441500009037554
35;0.030345900100655854;0.03159810008946806;0.030942720058374108;0.03066480008419603;0.030969499959610403;0.031135300057940185
40;0.03284840006381273;0.05570420005824417;0.03882282001432032;0.033123499946668744;0.03482699999585748;0.03761100000701845
45;0.03849179996177554;0.042844600044190884;0.039615259994752704;0.038679399993270636;0.03870829998049885;0.039352199994027615
50;0.04167040006723255;0.04352229996584356;0.04238607999868691;0.041703199967741966;0.04244180000387132;0.04259269998874515
57;0.04824740008916706;0.04952740005683154;0.04883866002783179;0.04850579996127635;0.04878050007391721;0.049132199957966805
64;0.051151399966329336;0.058289799955673516;0.055052819987758995;0.05368480004835874;0.05465049995109439;0.05748760001733899
72;0.06042450002860278;0.06372360000386834;0.06143137998878956;0.06059010000899434;0.06111149990465492;0.06130719999782741
81;0.06541310006286949;0.0706289999652654;0.06865284000523389;0.0682018999941647;0.0684627000009641;0.07055750000290573
91;0.0755871000001207;0.08080710005015135;0.07768060001544655;0.0765178999863565;0.07668779999949038;0.0788031000411138
102;0.08695780008565634;0.08940749999601394;0.08811382001731545;0.08747889997903258;0.08788090001326054;0.08884400001261383
114;0.09582189994398504;0.09844199998769909;0.0971002799924463;0.09660729998722672;0.09699250000994653;0.09763770003337413
129;0.1114413000177592;0.15779770002700388;0.12168588002678007;0.11173100001178682;0.11223620001692325;0.11522320006042719
145;0.1280160000314936;0.13384220004081726;0.13175838002935053;0.1298694999422878;0.13340130005963147;0.13366290007252246
162;0.14244500000495464;0.15509200002998114;0.15076628003735096;0.14777250005863607;0.1538052000105381;0.15471670008264482
183;0.15778320003300905;0.1701418999582529;0.1613801599945873;0.15838470007292926;0.15859829995315522;0.16199269995559007
205;0.17514290008693933;0.21246119996067137;0.19110011998564005;0.17766799998935312;0.18096399994101375;0.20926449995022267
231;0.19875979993958026;0.2319431999931112;0.2075866799801588;0.1998790999641642;0.2017852000426501;0.20556609996128827
259;0.22319289995357394;0.25040240003727376;0.2353392800083384;0.22845669998787344;0.23053210007492453;0.2441122999880463
291;0.2641571999993175;0.33890199998859316;0.2868356199702248;0.2697981999954209;0.27287699992302805;0.2884436999447644
327;0.28741140000056475;0.32365629996638745;0.3040470799896866;0.2952565000159666;0.30097270000260323;0.312938499962911
367;0.31503029994200915;0.3437539000296965;0.3271893199766055;0.32016200001817197;0.32843939994927496;0.3285609999438748
413;0.35901950008701533;0.4579686000943184;0.3855806400300935;0.3600616999901831;0.3639555999543518;0.38689780002459884
464;0.4056316999485716;0.42747170000802726;0.41195132001303136;0.4061071000760421;0.4092477000085637;0.4112984000239521
521;0.4540289998985827;0.4654947000090033;0.46046122000552714;0.4565437000710517;0.4627143000252545;0.4635244000237435
585;0.510715699987486;0.5330860000103712;0.5216267599957064;0.5134655999718234;0.5182465000543743;0.532619999954477
657;0.5775263999821618;0.6361892999848351;0.6008259800029918;0.5873276999918744;0.5947913000127301;0.6082952000433579
739;0.6545216999948025;0.7508370999712497;0.680905899987556;0.6556650999700651;0.6568313000025228;0.6866742999991402
830;0.7310343000572175;0.8292634000536054;0.7569994200021029;0.7374675000319257;0.7388337999582291;0.7483980999095365
932;0.8215511000016704;0.8993118000216782;0.839545139996335;0.822979599935934;0.8267376000294462;0.8271455999929458
1047;0.9121392999077216;0.9880232999566942;0.9339515599654987;0.9186669000191614;0.9193933999631554;0.9315348999807611
1176;1.0299934999784455;1.101148199988529;1.0458761199843138;1.0307058000471443;1.030975400004536;1.0365576999029145
1321;1.1521796999732032;1.2536431000335142;1.1772315200185404;1.153509599971585;1.1625082000391558;1.1643170000752434
1484;1.2878220999846235;1.3853259000461549;1.3132180000422522;1.2924192000646144;1.29571830003988;1.3048045000759885
1668;1.4410216000396758;1.5872399000218138;1.4931922799907624;1.4471042000222951;1.463023699936457;1.5275719999335706
1873;1.615980300004594;1.7270301000680774;1.6541491000447421;1.6270257000578567;1.6405685000354424;1.6601409000577405
2104;1.8316360000753775;1.9346010000444949;1.877454200037755;1.832697800011374;1.8632013000315055;1.9251349000260234
2364;2.0863810000009835;2.206227899994701;2.1182545199990273;2.090460399980657;2.092350999941118;2.1158523000776768
2656;2.3353876000037417;2.491992500028573;2.394987699994817;2.339356799959205;2.358088199980557;2.45011340000201
2983;2.6232075999723747;2.7649191999807954;2.6646530600031837;2.6311454999959096;2.6319792000576854;2.672013800009154
3351;2.9310157001018524;3.1144715999253094;3.0140683999983593;2.9486423999769613;2.9650362000102177;3.111176099977456
3764;3.2786650999914855;3.557753299945034;3.396523699979298;3.3129238999681547;3.3504940000129864;3.4827821999788284
4229;3.729657700052485;3.9215338999638334;3.788827580027282;3.7523763000499457;3.7684015000704676;3.7721684999996796
4750;4.256929499912076;4.421024200040847;4.359672260005027;4.3392819000873715;4.377390399924479;4.403735300060362
5336;4.730140500003472;5.064245900022797;4.864801199967042;4.763467099983245;4.798927499912679;4.9672249999130145
5994;5.289763099979609;5.551671300083399;5.370264559984207;5.3277087999740615;5.336555999936536;5.34562359994743
6734;6.027500599971972;6.424897899967618;6.198804799979553;6.068395699956454;6.112360100029036;6.360869699972682
7564;6.781041899928823;7.066300400067121;6.927420819993131;6.858682799967937;6.91294690000359;7.0181320999981835
8497;7.679128900053911;8.019929600064643;7.807162160053849;7.685659800074063;7.741536500048824;7.909556000027806
9545;8.69660740008112;9.061144400038756;8.880034060007892;8.829241200000979;8.844936599954963;8.968240699963644
10722;9.718878800049424;10.198825299972668;9.93450965997763;9.823211299953982;9.90850539994426;10.023127499967813
12045;10.801991499960423;11.42577590001747;11.157632439979352;11.013997299945913;11.26029549993109;11.286102000041865
13530;11.992285100044683;12.30473340000026;12.1164722800022;12.031704799970612;12.09114089992363;12.162497200071812
15199;13.74430950009264;14.592405500006862;14.121051160036586;13.845352799980901;13.878353400039487;14.54483460006304
17073;15.170253699994646;15.656971600023098;15.33473997998517;15.248313499963842;15.292177799972706;15.305983299971558
19179;17.309039999963716;19.18465379998088;18.070245299977252;17.604936399962753;17.962292999960482;18.290303300018422
21544;19.33579479996115;21.08778650010936;20.052919180016033;19.58230710006319;19.921895499923266;20.3368120000232
24201;22.111857300042175;23.001884400029667;22.559944279980847;22.4046970999334;22.558041699929163;22.723240899969824
27185;25.030306700035;25.4909389000386;25.247699600015768;25.139862700016238;25.152674500015564;25.424715199973434
