phase_count;min;max;mean;q25;q50;q75
10;0.007595399976707995;0.009834399912506342;0.008071979973465204;0.007630400010384619;0.007639799965545535;0.00765990000218153
11;0.0075516999932006;0.00863920000847429;0.007999000023119152;0.007788600050844252;0.007910900050774217;0.008104600012302399
12;0.009520199964754283;0.00998760003130883;0.009783820016309619;0.0097237000009045;0.009792500059120357;0.009895100025460124
14;0.011139399954117835;0.011617499985732138;0.011419499991461635;0.01133280002977699;0.011444799951277673;0.011563000036403537
15;0.011418299982324243;0.013529499992728233;0.012479180004447699;0.011945300037041306;0.012176700052805245;0.013326099957339466
17;0.013125000055879354;0.0145699999993667;0.013968740007840097;0.013697799993678927;0.013945700018666685;0.014505199971608818
20;0.01586499996483326;0.017013200093060732;0.0164565599989146;0.016372499987483025;0.01638819999061525;0.016643899958580732
22;0.01830380002502352;0.021241600043140352;0.019436040008440614;0.018353099934756756;0.019189400016330183;0.02009230002295226
25;0.020148599985986948;0.02297839999664575;0.02162767997942865;0.021062699961476028;0.021670099929906428;0.022278600023128092
28;0.02415180008392781;0.025718900025822222;0.024809519993141294;0.024604399921372533;0.024605899932794273;0.02496660000178963
31;0.024974099942483008;0.0273105000378564;0.026356919994577767;0.02548790001310408;0.02673689997754991;0.027275200001895428
35;0.0285019000293687;0.03280449996236712;0.030993439978919922;0.02923459990415722;0.03198929992504418;0.0324369000736624
40;0.03321869997307658;0.05785640003159642;0.039033839968033134;0.03449619992170483;0.03475859994068742;0.034839299973100424
45;0.03704269998706877;0.03964920004364103;0.038213500007987025;0.03763599996455014;0.03828610002528876;0.03845350001938641
50;0.0412149999756366;0.045543899992480874;0.04335632000584155;0.04307020001579076;0.04314710001926869;0.04380540002603084
57;0.047708299942314625;0.05011680000461638;0.04871981998439878;0.04802890005521476;0.048657899955287576;0.04908719996456057
64;0.05478280002716929;0.0577898999908939;0.05636598002165556;0.05577760003507137;0.05669650004711002;0.056783100008033216
72;0.06154749996494502;0.0638273999793455;0.06283209999091924;0.06209959997795522;0.06308130000252277;0.06360470002982765
81;0.06889809994027019;0.07828849996440113;0.07276827997993678;0.07093219994567335;0.07146760006435215;0.07425499998498708
91;0.08457280008587986;0.11101860005874187;0.095436040032655;0.08615170000120997;0.09282899997197092;0.10260810004547238
102;0.1038406000006944;0.16090739995706826;0.1217766199959442;0.10826810006983578;0.1104308000067249;0.12543619994539768
