phase_count;min;max;mean;q25;q50;q75
10;0.0006542000046465546;0.0008087999885901809;0.0006852119998075068;0.0006677000055788085;0.0006790000043110922;0.0006873999955132604
11;0.0007197000086307526;0.0008062999986577779;0.0007482920022448525;0.0007366999925579876;0.0007436000014422461;0.0007554000039817765
12;0.0008037000079639256;0.0009673000022303313;0.0008399200002895668;0.0008199000003514811;0.000830300006782636;0.0008411000017076731
14;0.0009428000048501417;0.001364399999147281;0.0010858559992630034;0.0009717000066302717;0.0010024999937741086;0.0012204999948153272
15;0.0010341000015614554;0.0011377999908290803;0.0010668119991896674;0.0010464999941177666;0.0010521999938646331;0.0010898999898927286
17;0.0011968999897362664;0.001829200002248399;0.0012754319986561314;0.0012101999891456217;0.001228699999046512;0.001260699995327741
20;0.0014631999947596341;0.0015644999948563054;0.001507112000253983;0.0014855999907013029;0.0014989999908721074;0.0015281000087270513
22;0.001639399997657165;0.001953800005139783;0.0017128079989925027;0.001665599993430078;0.0016752999945310876;0.0017602000007173046
25;0.0019265000009909272;0.0031429000082425773;0.002132728003198281;0.0020048000005772337;0.0020665000047301874;0.0021760999952675775
28;0.0021890000061830506;0.003013599998666905;0.002360507999546826;0.0022110999998403713;0.0022481000050902367;0.002322600004845299
31;0.0024876000097719952;0.005533499992452562;0.002654956000042148;0.00250840000808239;0.0025250000035157427;0.002545099996495992
35;0.002900099992984906;0.003096399988862686;0.002982004000223242;0.002950200010673143;0.0029734999989159405;0.0030274000018835068
40;0.00341659999685362;0.004264199989847839;0.003561892000143416;0.003482100000837818;0.0035189999907743186;0.0035826999956043437
45;0.003951899998355657;0.004781600000569597;0.004088531999150291;0.003997099993284792;0.004046699992613867;0.004088000001502223
50;0.00460630000452511;0.00543160000233911;0.004843856001971289;0.004677200005971827;0.004750900014187209;0.004804600001079962
57;0.005379399997764267;0.0063233000109903514;0.005578504001023248;0.005454700003610924;0.005481000000145286;0.005548800007090904
64;0.006329299998469651;0.0072613999946042895;0.0065564879978774115;0.006411099995602854;0.006524500000523403;0.006645999994361773
