phase_count;min;max;mean;q25;q50;q75
10;1.839996548369527e-05;6.310001481324434e-05;2.9183998703956606e-05;2.3100001271814108e-05;2.729997504502535e-05;3.1100003980100155e-05
11;1.5600002370774746e-05;4.9799971748143435e-05;3.559199394658208e-05;2.8800044674426317e-05;3.460003063082695e-05;4.029995761811733e-05
12;1.8000020645558834e-05;4.689994966611266e-05;3.17079946398735e-05;2.6500027161091566e-05;3.250001464039087e-05;3.6999990697950125e-05
14;2.050003968179226e-05;0.0001281999866478145;4.4456003233790395e-05;3.409996861591935e-05;3.809999907389283e-05;4.229997284710407e-05
15;1.8000020645558834e-05;5.91999851167202e-05;4.078399389982224e-05;3.7699996028095484e-05;4.069996066391468e-05;4.650000482797623e-05
17;2.5900022592395544e-05;0.0001588000450283289;6.0732001438736914e-05;4.650000482797623e-05;5.820003570988774e-05;6.539997411891818e-05
20;2.9399991035461426e-05;0.00016629998572170734;5.6975996121764185e-05;4.88999648950994e-05;5.5800017435103655e-05;5.889998283237219e-05
22;3.850000211969018e-05;0.0001640000264160335;6.762399803847074e-05;4.850002005696297e-05;6.399996345862746e-05;7.06000137142837e-05
25;3.9700011257082224e-05;0.00016920000780373812;8.286399999633431e-05;6.580003537237644e-05;7.389998063445091e-05;9.82999918051064e-05
28;4.8399961087852716e-05;0.00016110000433400273;7.593999151140452e-05;6.0399994254112244e-05;7.309997454285622e-05;8.169998181983829e-05
31;4.7900015488266945e-05;0.00011399999493733048;8.209999650716781e-05;7.270002970471978e-05;7.790001109242439e-05;9.419996058568358e-05
35;5.4100004490464926e-05;0.00018989999080076814;0.00010728799039497971;8.659996092319489e-05;0.00010569998994469643;0.0001218999968841672
40;8.099997648969293e-05;0.0001469000126235187;0.00011595999822020531;0.00010030000703409314;0.00011279998579993844;0.00012989999959245324
45;6.310001481324434e-05;0.00022149999858811498;0.00013948800740763546;0.00011740002082660794;0.00014240003656595945;0.00015969999367371202
50;8.889997843652964e-05;0.0002606000052765012;0.00016180400270968676;0.00013609998859465122;0.0001569000305607915;0.00018130004173144698
57;9.670003782957792e-05;0.00025189999723806977;0.00017519600223749875;0.00015089998487383127;0.00017559999832883477;0.00019950000569224358
64;9.940000018104911e-05;0.0003003999590873718;0.00021260799374431372;0.0001647999742999673;0.00021930004004389048;0.00024390005273744464
72;0.00016070000128820539;0.000415199960116297;0.00025916799204424025;0.00021309999283403158;0.00025669997557997704;0.00029180001001805067
81;0.00015550001990050077;0.0004112999886274338;0.00027547599980607627;0.00023549998877570033;0.00025889999233186245;0.00033379998058080673
91;0.00019310001516714692;0.0004762000171467662;0.00034282398875802757;0.00032489997101947665;0.00034909998066723347;0.0003839000128209591
102;0.0001976999919861555;0.00043559999903663993;0.00032931199530139565;0.0002698999596759677;0.0003250000299885869;0.00040169997373595834
114;0.00017859996296465397;0.0005678000161424279;0.0004368119966238737;0.00040579994674772024;0.00045849999878555536;0.000507800024934113
129;0.00024159997701644897;0.0006538999732583761;0.0004481599945574999;0.0003920999588444829;0.00043299997923895717;0.0005215000128373504
145;0.0003122000489383936;0.0007236999808810651;0.0005101480055600405;0.0004382000188343227;0.000525799987372011;0.0005638999864459038
162;0.00036420003743842244;0.0009969999664463103;0.0006798159913159907;0.0005666000070050359;0.0006635999889113009;0.0008010999881662428
183;0.00048719998449087143;0.0013473000144585967;0.0008880119933746756;0.0007888000109232962;0.0008843999821692705;0.0009348000166937709
205;0.0004543000250123441;0.001351499988231808;0.0008589880121871829;0.0006835000240243971;0.0008142999722622335;0.0010356000275351107
231;0.0006059000152163208;0.001489599992055446;0.0010560479993000627;0.0008582000155001879;0.0010465000523254275;0.0012283000396564603
259;0.000658299948554486;0.0018304000259377062;0.0012109119910746814;0.0008511000196449459;0.0012322000111453235;0.001423400011844933
291;0.000852599972859025;0.0024397000088356435;0.0013736520078964532;0.0010705000022426248;0.001289099978748709;0.001451500051189214
327;0.0010274999658577144;0.0024213999859057367;0.001483928004745394;0.0012402000138536096;0.0014858999638818204;0.00161650002701208
367;0.001046599994879216;0.00298250000923872;0.001973631994333118;0.0016695000231266022;0.0018686000257730484;0.0023668999783694744
413;0.00133940001251176;0.003542300022672862;0.0023201040038838983;0.0016898000030778348;0.0022090999991633;0.002963599981740117
464;0.0014859999646432698;0.004869099997449666;0.0028112840000540018;0.0022330000065267086;0.002702200028579682;0.0032698999857529998
521;0.001310400024522096;0.004808600002434105;0.0031825479934923353;0.0030332999886013567;0.0032245999900624156;0.003548499953467399
585;0.001899499970022589;0.006462399964220822;0.0038977880007587374;0.002829300006851554;0.004051099997013807;0.004620500025339425
657;0.0022419000160880387;0.00565219996497035;0.0039879360049962995;0.00280770001700148;0.0041306999628432095;0.004820499976631254
739;0.0026164999580942094;0.007782000000588596;0.005207008006982506;0.0041615000227466226;0.00517090002540499;0.006534099986311048
830;0.002863599976990372;0.010195699986070395;0.00636581999482587;0.00417059997562319;0.007079600007273257;0.007873800001107156
932;0.0036917999968864024;0.012324699957389385;0.0077471839915961025;0.006186000013258308;0.007793599972501397;0.009112100000493228
1047;0.003843699989374727;0.011785999988205731;0.00841248000273481;0.006986699998378754;0.0085813999758102;0.010041399975307286
1176;0.007577899959869683;0.014554199995473027;0.0110012159938924;0.00914579996606335;0.011324900027830154;0.012578499969094992
1321;0.007434899976942688;0.018369600002188236;0.012589171992149205;0.010310699988622218;0.011868199973832816;0.015431799984071404
