phase_count;min;max;mean;q25;q50;q75
10;2.5199988158419728e-05;9.190000128000975e-05;3.31719993846491e-05;2.6900001103058457e-05;2.8299997211433947e-05;3.060000017285347e-05
11;2.7999994927085936e-05;4.719999560620636e-05;3.1547999824397266e-05;2.9399991035461426e-05;3.1100003980100155e-05;3.229999856557697e-05
12;3.15000070258975e-05;0.00010130000009667128;3.778400074224919e-05;3.339999238960445e-05;3.429999924264848e-05;3.6299999919719994e-05
14;3.989999822806567e-05;0.00010150000161956996;5.152800003997982e-05;4.230000195093453e-05;4.610000178217888e-05;5.400000372901559e-05
15;4.090000584255904e-05;0.0001357000001007691;5.899200215935707e-05;5.220000457484275e-05;5.470000905916095e-05;5.979998968541622e-05
17;4.639998951461166e-05;0.0001201999984914437;5.5211999570019546e-05;4.9299997044727206e-05;5.050000618211925e-05;5.459999374579638e-05
20;5.560000136028975e-05;0.0002057999954558909;7.261200051289051e-05;5.94000011915341e-05;6.16999896010384e-05;6.629999552387744e-05
22;6.669999856967479e-05;0.00015619999612681568;8.869200013577938e-05;7.6299998909235e-05;8.080000407062471e-05;8.75000114319846e-05
25;7.579999510198832e-05;0.0001967999996850267;9.299600031226874e-05;8.140000863932073e-05;8.869999146554619e-05;9.380000119563192e-05
28;8.349999552592635e-05;0.00020789999689441174;0.0001088839996373281;8.89999937498942e-05;9.519999730400741e-05;0.00010289999772794545
31;9.950000094249845e-05;0.00016840000171214342;0.00011265200038906186;0.00010239999392069876;0.000106100007542409;0.00011490000179037452
35;0.00011119998816866428;0.00022200000239536166;0.00013621199876070022;0.00012379999679978937;0.00013089999265503138;0.0001407999952789396
40;0.00015449999773409218;0.00041370000690221786;0.00021217999747022987;0.000159099989105016;0.00018479999562259763;0.0002516999957151711
45;0.00016349999350495636;0.0002837000065483153;0.00019827999989502132;0.00016969999705906957;0.00018149999959859997;0.00022370000078808516
50;0.00019669999892357737;0.00027269999554846436;0.00021572399768047035;0.00020290000247769058;0.0002116999967256561;0.0002209999947808683
57;0.0002268999960506335;0.00040860001172404736;0.0002700400026515126;0.0002381999947829172;0.0002488000027369708;0.0002995000104419887
64;0.0002724000078160316;0.0004360999882919714;0.000311292001279071;0.0002784000098472461;0.0002972999936901033;0.000338700003339909
72;0.0003466000052867457;0.0004907999973511323;0.00040470399952027944;0.00036419999378267676;0.0003834000090137124;0.0004462999932002276
81;0.00039510001079179347;0.0008052000048337504;0.0004904880002140999;0.0004098000063095242;0.0004312999953981489;0.0005007999861845747
91;0.00047879999328870326;0.0008098999969661236;0.0005755640013376251;0.0005322000070009381;0.0005570999928750098;0.0005979999987175688
102;0.0005774000019300729;0.0007560999947600067;0.0006198119989130646;0.0005899000097997487;0.0005979999987175688;0.0006221000076038763
114;0.0006969999958528206;0.0010728999914135784;0.0007514000008814037;0.0007184999994933605;0.0007308000058401376;0.0007614999922225252
129;0.0008707000088179484;0.0010013999999500811;0.0009120680019259453;0.0008926000009523705;0.0009040000004461035;0.0009293000039178878
145;0.00106969999615103;0.0012343999987933785;0.0011147039994830266;0.0010846999939531088;0.001112400001147762;0.001131800003349781
162;0.0013371999957598746;0.0016206000000238419;0.001436611998360604;0.0013723000010941178;0.0014072999911149964;0.0014836999907856807
183;0.0016407000075560063;0.0019481000053929165;0.00174151599756442;0.0016794999974081293;0.0017288999952143058;0.0017820999928517267
205;0.0020057000074302778;0.003038199996808544;0.0021396600001025944;0.0020417000050656497;0.002082099992549047;0.0021234000014374033
231;0.002521199989132583;0.003231099995900877;0.002692432000185363;0.0026292999973520637;0.002658299999893643;0.0027418999961810187
259;0.0030786999996053055;0.0032982999982777983;0.0031644359993515535;0.0031369000062113628;0.003153600002406165;0.0031983999942895025
291;0.00390989999868907;0.005082800009404309;0.004123091999790631;0.00395520000893157;0.004042000000481494;0.004233699990436435
327;0.004761299991514534;0.005248199988272972;0.004969915999099612;0.0048494999937247485;0.004974199997377582;0.005048299994086847
367;0.0059954999887850136;0.007779399995342828;0.006468768001068384;0.006137100004707463;0.006287699987296946;0.006608299998333678
