phase_count;runtime
10;7.099995855242014e-06
11;8.600007276982069e-06
12;7.499998901039362e-06
14;9.399955160915852e-06
15;6.799993570894003e-06
17;8.400005754083395e-06
20;7.599999662488699e-06
22;8.200004231184721e-06
25;1.2100033927708864e-05
28;1.179997343569994e-05
31;9.09995287656784e-06
35;1.0100018698722124e-05
40;1.1199968867003918e-05
45;1.309998333454132e-05
50;1.2400036212056875e-05
57;1.9900035113096237e-05
64;1.839996548369527e-05
72;2.1899992134422064e-05
81;1.8700025975704193e-05
91;1.7900019884109497e-05
102;2.670002868399024e-05
114;2.6300025638192892e-05
129;2.829998265951872e-05
145;3.1800009310245514e-05
162;3.8300000596791506e-05
183;4.3899985030293465e-05
205;4.2000028770416975e-05
231;5.460000829771161e-05
259;5.7999975979328156e-05
291;7.539999205619097e-05
327;8.450000314041972e-05
367;8.450000314041972e-05
413;9.119999594986439e-05
464;0.00013830000534653664
521;0.00013770000077784061
585;0.0001748999929986894
657;0.00021140003809705377
739;0.0002778000198304653
830;0.0003299000090919435
932;0.0003268999862484634
1047;0.0002982000005431473
1176;0.00047070003347471356
1321;0.0005805999971926212
1484;0.0007248999900184572
1668;0.0007761000306345522
1873;0.0009534999844618142
2104;0.00105489999987185
2364;0.0012150999973528087
2656;0.0012129000388085842
2983;0.001573299989104271
3351;0.00196460000006482
3764;0.002096200012601912
4229;0.0025932000135071576
4750;0.0031662999535910785
5336;0.0033400000538676977
5994;0.003981899993959814
6734;0.005616599984932691
7564;0.004601499997079372
8497;0.005818600009661168
9545;0.008391999988816679
10722;0.00694269995437935
12045;0.010965100023895502
13530;0.01274619996547699
15199;0.014082699955906719
17073;0.013356100011151284
19179;0.02008310001110658
21544;0.022791000024881214
24201;0.025710699963383377
27185;0.03233910002745688
30538;0.030406100035179406
34304;0.03862290002871305
38535;0.04509580001467839
43287;0.06724799994844943
48626;0.06892669998342171
54622;0.07492400001501665
61359;0.08807549998164177
68926;0.1050668999669142
77426;0.153414000000339
86974;0.15727379999589175
97700;0.24387949996162206
109749;0.199363199993968
123284;0.22772039996925741
138488;0.37677390000317246
155567;0.515056399977766
174752;0.45598319999407977
196304;0.5963722000014968
220513;0.7362264999537729
247707;0.7630517000216059
278255;0.8806065000244416
312571;1.0380621000076644
351119;1.6035663000075147
394420;1.5589481999631971
443062;1.7327995999949053
497702;2.2618920999811962
559081;2.8595017999759875
628029;4.001668799959589
705480;2.730253499990795
792482;4.423926599964034
890215;6.571122800000012
1000000;5.98376350000035
