phase_count;min;max;mean;q25;q50;q75
10;1.3200042303651571e-05;8.030002936720848e-05;2.2840001620352268e-05;1.650000922381878e-05;1.8099963199347258e-05;1.98000343516469e-05
11;1.750001683831215e-05;5.749997217208147e-05;2.6187996845692395e-05;2.1099986042827368e-05;2.3699947632849216e-05;2.95999925583601e-05
12;1.2499978765845299e-05;7.750000804662704e-05;2.3287993390113115e-05;1.6300007700920105e-05;2.069998299703002e-05;2.2599997464567423e-05
14;1.6900012269616127e-05;4.369998350739479e-05;2.382799284532666e-05;2.0900042727589607e-05;2.269999822601676e-05;2.5200017262250185e-05
15;1.539994264021516e-05;8.159998105838895e-05;2.8308003675192594e-05;2.1899992134422064e-05;2.440001117065549e-05;2.7100031729787588e-05
17;2.2099993657320738e-05;8.869997691363096e-05;3.628400154411793e-05;2.6200024876743555e-05;2.8999987989664078e-05;3.739999374374747e-05
20;1.8899969290941954e-05;8.149998029693961e-05;3.84120037779212e-05;2.8499984182417393e-05;3.1400006264448166e-05;3.999995533376932e-05
22;2.300000051036477e-05;0.00018910004291683435;4.403200233355165e-05;2.9300048481673002e-05;3.0999945010989904e-05;3.619998460635543e-05
25;2.7399975806474686e-05;0.00016570003936067224;4.906000336632132e-05;3.560003824532032e-05;3.91000066883862e-05;4.2000028770416975e-05
28;3.160000778734684e-05;0.00010629999451339245;4.856798797845841e-05;3.860000288113952e-05;4.469999112188816e-05;5.0399976316839457e-05
31;3.6999990697950125e-05;8.560001151636243e-05;4.901599138975143e-05;4.349998198449612e-05;4.669994814321399e-05;4.929996794089675e-05
35;3.9300008211284876e-05;8.249998791143298e-05;5.0923994276672605e-05;4.5199994929134846e-05;4.810001701116562e-05;5.640002200379968e-05
40;4.350004019215703e-05;0.00015740003436803818;6.526400800794364e-05;5.2499992307275534e-05;5.660002352669835e-05;6.340001709759235e-05
45;4.5900000259280205e-05;0.0001115999766625464;6.935999495908617e-05;5.860003875568509e-05;6.589997792616487e-05;7.779995212331414e-05
50;5.5500015150755644e-05;0.00013699999544769526;7.556000258773565e-05;6.559997564181685e-05;6.769999163225293e-05;7.829995593056083e-05
