phase_count;min;max;mean;q25;q50;q75
10;2.0100007532164454e-05;0.00010550001752562821;2.7512001106515528e-05;2.169999061152339e-05;2.239999594166875e-05;2.5299988919869065e-05
11;2.3200002033263445e-05;6.590000702999532e-05;3.0324002727866174e-05;2.4500011932104826e-05;2.5900022592395544e-05;2.8199981898069382e-05
12;2.3800006601959467e-05;5.2400020649656653e-05;2.8423998737707735e-05;2.5999994250014424e-05;2.6699999580159783e-05;2.8300011763349175e-05
14;2.9499991796910763e-05;6.079999729990959e-05;3.5524001577869055e-05;3.170000854879618e-05;3.260001540184021e-05;3.5200006095692515e-05
15;3.1800009310245514e-05;0.00016629998572170734;5.0108002033084633e-05;3.7999998312443495e-05;4.469999112188816e-05;4.7200010158121586e-05
17;3.779999678954482e-05;8.209998486563563e-05;4.71640017349273e-05;4.189999890513718e-05;4.290000651963055e-05;4.939999780617654e-05
20;4.889999399892986e-05;9.23000043258071e-05;5.8455998077988626e-05;5.120001151226461e-05;5.3800002206116915e-05;5.8900011936202645e-05
22;5.43000060133636e-05;0.00013669999316334724;6.702799815684557e-05;5.750000127591193e-05;6.009999196976423e-05;6.86999992467463e-05
25;6.630001007579267e-05;0.00011150000500492752;8.084399742074311e-05;6.990000838413835e-05;7.700000423938036e-05;8.840000373311341e-05
28;8.110000635497272e-05;0.0001680999994277954;0.00010034000384621322;8.38999985717237e-05;9.580000187270343e-05;0.00010839998139999807
31;9.240000508725643e-05;0.00014449999434873462;0.00010567200137302279;9.849999332800508e-05;0.00010109998402185738;0.00011160000576637685
35;0.00011850000009872019;0.00022069999249652028;0.00013647199841216207;0.00012480001896619797;0.00012879999121651053;0.0001346999779343605
40;0.00014620000729337335;0.00017640000442042947;0.0001548600068781525;0.00014859999646432698;0.00015150001854635775;0.00015740000526420772
45;0.00017869999282993376;0.0002860999957192689;0.00020032399916090072;0.00018569998792372644;0.00018989999080076814;0.0001996000064536929
50;0.00021840000408701599;0.0003463999892119318;0.0002535359968896955;0.00022679998073726892;0.00022960000205785036;0.0002733999863266945
57;0.00027570000384002924;0.0004625000001396984;0.00031819999916478993;0.0002838000073097646;0.0003020000003743917;0.00031889998354017735
64;0.0003457999846432358;0.0005489999894052744;0.0003908039990346879;0.0003611999854911119;0.00037090000114403665;0.0004062000080011785
72;0.0004455000162124634;0.0006571999983862042;0.0005034039984457195;0.00045779999345541;0.0005068999889772385;0.0005262999911792576
81;0.0005390000005718321;0.0008324000227730721;0.000608152000932023;0.0005536999960895628;0.0005884999991394579;0.0006385000015143305
91;0.0006818999827373773;0.0010665000008884817;0.0008047080016694963;0.0007110000005923212;0.0007852999842725694;0.0008715000003576279
102;0.0008439999946858734;0.001108099997509271;0.0009157479996792972;0.0008681999752297997;0.0008863999973982573;0.0009309999877586961
114;0.0010665000008884817;0.0013334999966900796;0.0011712959967553616;0.0011128000041935593;0.0011488000163808465;0.0012149000249337405
129;0.0013586000131908804;0.0021186000085435808;0.0014952000009361656;0.001407100004144013;0.001461699983337894;0.0015395000227726996
145;0.0017331999843008816;0.002486699988367036;0.0020363160013221206;0.0018789999885484576;0.002016800019191578;0.0022080999915488064
162;0.0022017000010237098;0.0030051000067032874;0.0024746480002067984;0.002338300022529438;0.002426999999443069;0.0025668999878689647
183;0.0028520000050775707;0.003421800007345155;0.0030844519985839727;0.002975299983518198;0.003036400012206286;0.0031642999965697527
205;0.0034915000142063946;0.00495000000228174;0.004087027999339625;0.003735000005690381;0.003911699983291328;0.004498000023886561
231;0.004629400005796924;0.006094199983635917;0.005130751996766776;0.004792399995494634;0.00503149998257868;0.005359700007829815
259;0.005876199982594699;0.007561599981272593;0.006300332000246271;0.006091499992180616;0.006265600008191541;0.006369199982145801
291;0.007787000009557232;0.008766300015849993;0.008267791997641325;0.007948199985548854;0.008282299997517839;0.008601200010161847
327;0.009650299994973466;0.011534000019310042;0.01045888799824752;0.010159099998418242;0.010361099994042888;0.01072230000863783
367;0.012726499990094453;0.014970399992307648;0.013683223997941241;0.01329729999997653;0.013590599992312491;0.01405150000937283
413;0.016177899989997968;0.019699800002854317;0.017279223998775704;0.01668410000274889;0.01720870001008734;0.017644999985350296
464;0.021555000013904646;0.024758599989581853;0.022496907999739052;0.021953699993900955;0.022387799981515855;0.022795099997892976
521;0.02741410001181066;0.03199669998139143;0.029032848000060767;0.028452200000174344;0.028743700007908046;0.02942790000815876
585;0.03623739999602549;0.0395583999925293;0.037198928000871094;0.03667540001333691;0.03722359999665059;0.037481000006664544
657;0.04699769997387193;0.05179250001674518;0.04845821199589409;0.04762169998139143;0.04815539999981411;0.049129200022434816
739;0.06148629999370314;0.0658566000056453;0.06319784400286153;0.06245369999669492;0.0629320000007283;0.06366529999650083
830;0.07946020000963472;0.08715269999811426;0.08241949600400403;0.08130220000748523;0.0824164999939967;0.08260360002168454
932;0.10447720001684502;0.11112560000037774;0.10739944000262767;0.1057577999890782;0.10699000000022352;0.10887110000476241
1047;0.1360207999823615;0.14907459999085404;0.14054094400024042;0.13898640000843443;0.14048040000488982;0.14131380000617355
1176;0.17918189999181777;0.1916471000004094;0.18469061200157738;0.18296639999607578;0.1846773999859579;0.18583000000216998
1321;0.24553779998677783;0.34147240000311285;0.2646495280030649;0.25517700001364574;0.25803430000087246;0.2672260999970604
1484;0.34631109997280873;0.4071834999776911;0.35961504399892874;0.35222410000278614;0.3547118999995291;0.36088299998664297
1668;0.48873889999231324;1.0777064000139944;0.5603088360012043;0.5085801999957766;0.5211895999964327;0.5398748000152409
1873;0.6812475999759044;1.7745854000095278;0.7980011880001985;0.7234898000024259;0.7592079000023659;0.8043060000054538
