phase_count;min;max;mean;q25;q50;q75
10;1.479999627918005e-05;4.08000050811097e-05;1.893599983304739e-05;1.6599995433352888e-05;1.7800004570744932e-05;1.8999999156221747e-05
11;1.4700010069645941e-05;6.489999941550195e-05;1.9808001234196126e-05;1.5900004655122757e-05;1.6299993149004877e-05;1.85999961104244e-05
12;1.650000922381878e-05;3.530000685714185e-05;2.006400085519999e-05;1.829999382607639e-05;1.850000990089029e-05;1.9400002202019095e-05
14;1.790000533219427e-05;8.64000030560419e-05;2.29120027506724e-05;1.9099999917671084e-05;2.0000006770715117e-05;2.0500010577961802e-05
15;1.9400002202019095e-05;9.950000094249845e-05;2.6444000541232525e-05;2.0100007532164454e-05;2.1100000594742596e-05;2.439999661874026e-05
17;1.9099999917671084e-05;6.819999543949962e-05;2.599999832455069e-05;2.1400002879090607e-05;2.2799998987466097e-05;2.5200002710334957e-05
20;2.3999993572942913e-05;0.00010630000906530768;3.115600033197552e-05;2.579999272711575e-05;2.710000262595713e-05;3.0199997127056122e-05
22;2.3999993572942913e-05;0.00011149999045301229;3.456000005826354e-05;2.6599998818710446e-05;2.7600006433203816e-05;3.0800001695752144e-05
25;2.9300004825927317e-05;9.99000039882958e-05;3.8844000082463024e-05;3.0400013201870024e-05;3.1400006264448166e-05;3.920000744983554e-05
28;3.189999551977962e-05;0.00014090001059230417;4.8039999091997744e-05;3.37999954354018e-05;3.5899996873922646e-05;4.150001041125506e-05
31;3.1400006264448166e-05;5.09000092279166e-05;3.7232002359814945e-05;3.360000846441835e-05;3.530000685714185e-05;3.959999594371766e-05
35;3.5600009141489863e-05;4.9299997044727206e-05;3.920800110790878e-05;3.679998917505145e-05;3.7699996028095484e-05;3.929999365936965e-05
40;4.159999662078917e-05;6.479999865405262e-05;4.6415998949669304e-05;4.359999729786068e-05;4.4500004150904715e-05;4.669999179895967e-05
45;4.530001024249941e-05;8.400001388508826e-05;5.5172002175822856e-05;4.889999399892986e-05;5.1000009989365935e-05;5.779998900834471e-05
50;5.280000914353877e-05;0.00012379999679978937;6.61479978589341e-05;5.849999433849007e-05;6.160000339150429e-05;6.529998790938407e-05
57;5.779998900834471e-05;0.00013490000856108963;7.7612001914531e-05;6.430000939872116e-05;6.920000305399299e-05;7.740000728517771e-05
64;6.539998867083341e-05;0.00013469999248627573;8.410800073761493e-05;7.390000973828137e-05;7.730000652372837e-05;8.320000779349357e-05
72;7.6299998909235e-05;0.00018309999722987413;0.00010180800105445086;8.070000330917537e-05;8.55999969644472e-05;0.00012540000898297876
81;8.140000863932073e-05;0.00022029998945072293;0.00010686800058465451;8.889999298844486e-05;9.169999975711107e-05;0.00010130000009667128
91;9.279999358113855e-05;0.00016999999934341758;0.00011578800156712532;9.940000018104911e-05;0.00010299999848939478;0.00012740000966005027
102;9.010000212583691e-05;0.00013729999773204327;0.00010601199872326106;9.639999188948423e-05;0.00010219999239780009;0.000112900001113303
114;0.00010649999603629112;0.00018069999350700527;0.00012231200060341507;0.00011390000872779638;0.00011760000779759139;0.00012339999375399202
129;0.00012620000052265823;0.0002486000012140721;0.00015976400056388228;0.0001362000039080158;0.00015140000323299319;0.0001812999980757013
145;0.00013449999096337706;0.00026200000138487667;0.00017455599969252945;0.00015210000856313854;0.00015800000983290374;0.000192299994523637
162;0.00016069998673629016;0.00037539999175351113;0.00020076399901881815;0.00017010000010486692;0.00018399998953100294;0.00021940001170150936
183;0.0001812999980757013;0.0003212000010535121;0.00022156400082167237;0.00019629999587778002;0.0002234999992651865;0.00023970000620465726
205;0.00021640000340994447;0.0003698999935295433;0.00027768400148488583;0.0002367000124650076;0.00027940000290982425;0.00032500000088475645
231;0.00023570000485051423;0.00046329999167937785;0.00031453599978704006;0.0002815000043483451;0.00029319999157451093;0.000364800012903288
259;0.0002564000023994595;0.0004378000012366101;0.0003143840003758669;0.0002747999969869852;0.0003119000029982999;0.0003372000064700842
291;0.000302100001135841;0.0006492000102298334;0.0003924360021483153;0.00033569999504834414;0.0003701999958138913;0.0004093000025022775
327;0.000324800013913773;0.000611600000411272;0.0003864919993793592;0.0003395999956410378;0.00037259999953676015;0.00041029999556485564
367;0.00038529999437741935;0.0005839000077685341;0.0004636759997811168;0.0004192000051261857;0.000440500007243827;0.0005035999929532409
413;0.0004383000050438568;0.0008639000006951392;0.0005584160011494532;0.0004735000111395493;0.0005611999949906021;0.0006126000080257654
464;0.0004717999981949106;0.0008096999954432249;0.0005907320004189387;0.0005377000052249059;0.0005863999977009371;0.0006364000000758097
521;0.0005487000016728416;0.0008650000090710819;0.0006641719990875572;0.0006059000006644055;0.0006524999917019159;0.0007136999920476228
585;0.0005946000019321218;0.0010177999938605353;0.0007465439988300204;0.000679299992043525;0.0007146999996621162;0.0008062999986577779
657;0.0006564000068465248;0.0011938000097870827;0.0008484999986831099;0.0007652000058442354;0.0008166999905370176;0.0008748000109335408
739;0.0007722000009380281;0.0010857000015676022;0.0008714400016469881;0.000821399997221306;0.0008410000009462237;0.0009261999948648736
830;0.0008534000080544502;0.0017484999989392236;0.0010813640005653724;0.000971500005107373;0.001022900003590621;0.0011326000094413757
932;0.0010050999990198761;0.0014330999983940274;0.0011336240003583953;0.0010716999968281016;0.0011049000022467226;0.001186299996334128
1047;0.0010894000006373972;0.0016638999950373545;0.0012681999994674697;0.0011767999967560172;0.001224999999976717;0.0012961999891558662
1176;0.0011559000122360885;0.002610200011986308;0.0016267719998722895;0.0013832999975420535;0.0015749000012874603;0.001720999993267469
1321;0.0014530999906128272;0.002355300006456673;0.001682567999814637;0.001509599998826161;0.0016399000014644116;0.0017322999919997528
1484;0.0016163999971468002;0.0029440000071190298;0.001962579999817535;0.001745200002915226;0.0018939000001410022;0.002075600001262501
1668;0.0018108999938704073;0.003201899991836399;0.0021926199994049965;0.0019794000108959153;0.0021392000053310767;0.002309400006197393
1873;0.0021658999903593212;0.0034768000041367486;0.0025273639999795704;0.002366700005950406;0.002508500008843839;0.0026431999867781997
2104;0.0024028000043472275;0.0035604000004241243;0.002872844001976773;0.0026702000031946227;0.002802900009555742;0.003005899998242967
2364;0.0026698000001488253;0.004616399994120002;0.003293904001475312;0.0030475000094156712;0.0031681999971624464;0.0034310000046389177
2656;0.0028983999945921823;0.004942200001096353;0.0038287600001785903;0.0036111000081291422;0.003810399997746572;0.00404549999802839
2983;0.0035311999963596463;0.005030700005590916;0.004475083999568597;0.004324499997892417;0.004497100002481602;0.004727099993033335
3351;0.00402110000140965;0.007010500004980713;0.005018955999985337;0.004674200012232177;0.004874099991866387;0.005291699999361299
3764;0.004115800009458326;0.006399499994586222;0.005590636000270024;0.0052758999954676256;0.0056425999937346205;0.0059388000081526116
4229;0.00495750000118278;0.007895300004747696;0.006746132000116632;0.006342099994071759;0.006785699995816685;0.007316499992157333
4750;0.0060092999920016155;0.00794510000559967;0.007272835999610833;0.007082500000251457;0.007249600006616674;0.007515999997849576
