phase_count;min;max;mean;q25;q50;q75
10;5.999987479299307e-06;1.8200022168457508e-05;7.688002660870552e-06;6.699992809444666e-06;7.099995855242014e-06;7.700000423938036e-06
11;6.099988240748644e-06;1.309998333454132e-05;7.127998396754265e-06;6.499991286545992e-06;6.699992809444666e-06;7.299997378140688e-06
12;5.799985956400633e-06;1.5099998563528061e-05;7.988002616912126e-06;7.299997378140688e-06;7.399998139590025e-06;8.200004231184721e-06
14;6.400048732757568e-06;1.5199999324977398e-05;8.064000867307187e-06;7.199996616691351e-06;7.599999662488699e-06;8.500006515532732e-06
15;6.199989002197981e-06;1.4699995517730713e-05;8.30400036647916e-06;7.499998901039362e-06;8.100003469735384e-06;8.800008799880743e-06
17;6.89999433234334e-06;1.4899997040629387e-05;8.78400169312954e-06;7.90000194683671e-06;8.100003469735384e-06;8.600007276982069e-06
20;6.89999433234334e-06;2.1799991372972727e-05;1.08080031350255e-05;9.400013368576765e-06;9.800016414374113e-06;1.1400028597563505e-05
22;7.299997378140688e-06;9.380001574754715e-05;1.3899996411055326e-05;8.700008038431406e-06;9.300012607127428e-06;1.2599979527294636e-05
25;7.700000423938036e-06;1.7700018361210823e-05;1.0152007453143597e-05;9.300012607127428e-06;9.800016414374113e-06;1.0400020983070135e-05
28;8.000002708286047e-06;1.8899969290941954e-05;1.0823998600244522e-05;9.499955922365189e-06;1.0400020983070135e-05;1.1899974197149277e-05
31;9.500014130026102e-06;2.5100016500800848e-05;1.3044001534581184e-05;1.0999967344105244e-05;1.1599971912801266e-05;1.1899974197149277e-05
35;8.700008038431406e-06;3.0800001695752144e-05;1.33280036970973e-05;1.109996810555458e-05;1.1700030881911516e-05;1.3399985618889332e-05
40;1.1000025551766157e-05;2.19999928958714e-05;1.30759971216321e-05;1.2499978765845299e-05;1.2599979527294636e-05;1.2899981811642647e-05
45;1.0399962775409222e-05;2.2299995180219412e-05;1.4319999609142542e-05;1.3100041542202234e-05;1.3899989426136017e-05;1.4299992471933365e-05
50;1.1999974958598614e-05;2.6300025638192892e-05;1.5731998719274997e-05;1.4399993233382702e-05;1.479999627918005e-05;1.6400008462369442e-05
57;1.2599979527294636e-05;3.220001235604286e-05;1.668000128120184e-05;1.550000160932541e-05;1.6200006939470768e-05;1.699995482340455e-05
64;1.4099990949034691e-05;3.969995304942131e-05;2.131999935954809e-05;1.8000020645558834e-05;1.92999723367393e-05;2.2899999748915434e-05
72;2.1499989088624716e-05;4.429998807609081e-05;2.5760000571608544e-05;2.3600005079060793e-05;2.4100008886307478e-05;2.4900014977902174e-05
81;1.650000922381878e-05;4.710000939667225e-05;2.3732001427561044e-05;2.1199986804276705e-05;2.1700048819184303e-05;2.389994915574789e-05
91;1.999997766688466e-05;3.4999975468963385e-05;2.468799939379096e-05;2.239999594166875e-05;2.340000355616212e-05;2.4999957531690598e-05
102;2.3800006601959467e-05;3.7699996028095484e-05;2.856399631127715e-05;2.640002639964223e-05;2.7699978090822697e-05;3.0199997127056122e-05
114;2.3300002794712782e-05;0.00011959997937083244;3.421200439333916e-05;2.7799978852272034e-05;2.900004619732499e-05;3.1800009310245514e-05
129;2.589996438473463e-05;5.170004442334175e-05;3.42239998281002e-05;2.9699993319809437e-05;3.23000131174922e-05;3.6699988413602114e-05
145;3.060000017285347e-05;8.490000618621707e-05;4.122399026528001e-05;3.479997394606471e-05;3.739999374374747e-05;4.369998350739479e-05
162;3.260001540184021e-05;5.540001438930631e-05;4.032000433653593e-05;3.840000135824084e-05;3.950000973418355e-05;4.109996370971203e-05
183;4.010001430287957e-05;8.229998638853431e-05;4.9739996902644635e-05;4.429998807609081e-05;4.8600020818412304e-05;5.15999854542315e-05
205;4.0700018871575594e-05;8.929998148232698e-05;5.86559996008873e-05;5.13000413775444e-05;5.4500007536262274e-05;5.9399986639618874e-05
231;5.519995465874672e-05;8.680002065375447e-05;6.674399599432946e-05;6.169994594529271e-05;6.320001557469368e-05;6.539997411891818e-05
259;5.949998740106821e-05;0.0001438999897800386;8.423600113019347e-05;7.000000914558768e-05;8.03999719209969e-05;9.290000889450312e-05
291;7.479998748749495e-05;0.00012379995314404368;9.251599665731191e-05;8.440000237897038e-05;8.810003055259585e-05;9.44999628700316e-05
327;7.35999783501029e-05;0.00012429995695129037;9.156799875199795e-05;8.66000191308558e-05;8.899997919797897e-05;9.079999290406704e-05
367;8.249998791143298e-05;0.00015739997616037726;0.00010928400559350848;9.71999834291637e-05;0.00010470004053786397;0.00011950003681704402
413;0.0001181000261567533;0.00017030001617968082;0.00013423599768429994;0.00012779998360201716;0.00013160001253709197;0.00014140002895146608
464;0.00013269996270537376;0.00017909996677190065;0.0001479839929379523;0.00014219997683539987;0.00014590000500902534;0.00015269999857991934
521;0.0001365999924018979;0.00020519999088719487;0.00016525600804015995;0.00015550001990050077;0.0001634999644011259;0.0001697000116109848
585;0.00014939997345209122;0.00026020000223070383;0.00019541600253432988;0.0001803000341169536;0.00019190000602975488;0.0002136999974027276
657;0.00018560001626610756;0.00025379995349794626;0.00020562399877235293;0.00019409996457397938;0.00019890000112354755;0.00020420004148036242
739;0.00021839997498318553;0.0005218000151216984;0.00026092399610206485;0.00023669999791309237;0.00024339999072253704;0.0002471000188961625
830;0.00023780000628903508;0.0002874999772757292;0.0002591000031679869;0.0002487999736331403;0.0002570999786257744;0.00026619998971000314
932;0.00027459999546408653;0.0004650999908335507;0.00031836000503972174;0.00029200001154094934;0.0003032999811694026;0.00032730004750192165
1047;0.0002308000111952424;0.0004068000125698745;0.00028173600789159535;0.0002519000554457307;0.00025969999842345715;0.0003132999991066754
1176;0.0003208999987691641;0.0004566000425256789;0.0003733680048026145;0.0003415000392124057;0.0003619999624788761;0.0003968999953940511
1321;0.0003485999768599868;0.0005000000237487257;0.0004172399966046214;0.00038789998507127166;0.0004017999744974077;0.00045270001282915473
1484;0.0004103000392206013;0.0006498000002466142;0.0004699800000526011;0.0004346999921835959;0.0004484999808482826;0.0004879999905824661
1668;0.0004414999857544899;0.0007218000246211886;0.0005432040034793318;0.0004918000195175409;0.0005160000291652977;0.0005975000094622374
