phase_count;min;max;mean;q25;q50;q75
10;6.400005077011883e-06;1.5199999324977398e-05;7.583998958580196e-06;6.699992809444666e-06;6.799993570894003e-06;7.599999662488699e-06
11;6.299989763647318e-06;1.3900003978051245e-05;7.228000904433429e-06;6.50000583846122e-06;6.800008122809231e-06;7.199996616691351e-06
12;6.799993570894003e-06;1.4199991710484028e-05;7.884001242928206e-06;6.999995093792677e-06;7.199996616691351e-06;7.800001185387373e-06
14;7.299997378140688e-06;1.5600002370774746e-05;8.668000809848308e-06;7.50001345295459e-06;7.799986633472145e-06;8.200004231184721e-06
15;7.299997378140688e-06;1.4599994756281376e-05;8.39600048493594e-06;7.599999662488699e-06;8.100003469735384e-06;8.600007276982069e-06
17;7.499998901039362e-06;1.5600002370774746e-05;9.104000637307764e-06;8.100003469735384e-06;8.300004992634058e-06;8.999995770864189e-06
20;8.699993486516178e-06;1.5900004655122757e-05;1.000399875920266e-05;8.999995770864189e-06;9.800001862458885e-06;1.0299991117790341e-05
22;8.999995770864189e-06;1.6700010746717453e-05;1.0104001848958432e-05;9.000010322779417e-06;9.399998816661537e-06;1.0500007192604244e-05
25;9.60000033956021e-06;1.720000000204891e-05;1.0999999940395355e-05;1.0000003385357559e-05;1.030000566970557e-05;1.09999964479357e-05
28;1.0299991117790341e-05;1.6999998479150236e-05;1.1679998715408147e-05;1.0799994925037026e-05;1.1099997209385037e-05;1.2100004823878407e-05
31;1.09999964479357e-05;1.829999382607639e-05;1.2252000160515309e-05;1.1399999493733048e-05;1.1900003300979733e-05;1.2500007869675756e-05
35;1.2099990271963179e-05;2.0699997548945248e-05;1.3879998587071895e-05;1.2500007869675756e-05;1.270000939257443e-05;1.340000017080456e-05
40;1.3199998647905886e-05;1.990000600926578e-05;1.4363998197950422e-05;1.340000017080456e-05;1.3899989426136017e-05;1.4499993994832039e-05
45;1.4299992471933365e-05;2.6399997295811772e-05;1.63160014199093e-05;1.4600009308196604e-05;1.4900011592544615e-05;1.6399993910454214e-05
50;1.5400000847876072e-05;2.5200002710334957e-05;1.7023999243974687e-05;1.5999990864656866e-05;1.6699996194802225e-05;1.7499987734481692e-05
57;1.68999977177009e-05;2.5000001187436283e-05;1.852800196502358e-05;1.7600003047846258e-05;1.8000006093643606e-05;1.850000990089029e-05
64;1.8799997633323073e-05;2.540000423323363e-05;1.9859999883919955e-05;1.920000067912042e-05;1.9400002202019095e-05;2.0099992980249226e-05
72;2.0899999071843922e-05;4.849999095313251e-05;2.44520022533834e-05;2.1400002879090607e-05;2.2200008970685303e-05;2.6299996534362435e-05
81;2.3299988242797554e-05;2.9999995604157448e-05;2.4467999464832248e-05;2.36999912885949e-05;2.3899992811493576e-05;2.4599998141638935e-05
91;2.479999966453761e-05;3.399999695830047e-05;2.6648000348359345e-05;2.5599991204217076e-05;2.6299996534362435e-05;2.710000262595713e-05
102;2.6599998818710446e-05;4.570001328829676e-05;2.956800104584545e-05;2.7599991881288588e-05;2.8099995688535273e-05;2.920000406447798e-05
114;2.920000406447798e-05;4.680000711232424e-05;3.222000144887716e-05;2.990000939462334e-05;3.0399998649954796e-05;3.100000321865082e-05
129;3.2500000088475645e-05;4.2100000428035855e-05;3.435599966906011e-05;3.3200005418621004e-05;3.340000694151968e-05;3.409999771974981e-05
145;3.619999915827066e-05;4.650000482797623e-05;3.8479999639093875e-05;3.680000372696668e-05;3.739999374374747e-05;3.8300000596791506e-05
162;4.0099999750964344e-05;6.180000491440296e-05;4.440400050953031e-05;4.129999433644116e-05;4.1799998143687844e-05;4.470000567380339e-05
183;4.440000338945538e-05;5.5199998314492404e-05;4.7755998675711456e-05;4.5900000259280205e-05;4.6899993321858346e-05;4.810000245925039e-05
205;4.949999856762588e-05;7.560000813100487e-05;5.3172000334598125e-05;5.079999391455203e-05;5.119999696034938e-05;5.2499992307275534e-05
231;5.630000669043511e-05;8.109999180305749e-05;6.270799902267754e-05;5.729999975301325e-05;5.9300000430084765e-05;6.410000787582248e-05
259;6.259999645408243e-05;0.0001235999952768907;7.183599984273315e-05;6.380000559147447e-05;6.86999992467463e-05;7.300000288523734e-05
291;7.769999501761049e-05;0.00012989999959245324;8.307600161060691e-05;7.909999112598598e-05;8.040000102482736e-05;8.150000940077007e-05
327;7.139999070204794e-05;8.209999941755086e-05;7.329999993089586e-05;7.20999960321933e-05;7.249999907799065e-05;7.319998985622078e-05
367;7.929999264888465e-05;8.719999459572136e-05;8.242000010795892e-05;8.05000017862767e-05;8.169999637175351e-05;8.490000618621707e-05
413;8.829998841974884e-05;0.00012190001143608242;9.619600023142993e-05;9.000000136438757e-05;9.229998977389187e-05;0.00010259999544359744
464;0.00011300000187475234;0.0001731000083964318;0.00012212800094857812;0.0001145000132964924;0.00011619999713730067;0.00012260000221431255
521;0.00012749999586958438;0.0001478000049246475;0.0001349559985101223;0.00013070000568404794;0.00013380000018514693;0.0001390999968862161
585;0.00014139999984763563;0.00017130000924225897;0.00014723199943546207;0.00014209999062586576;0.00014379998901858926;0.00015049999637994915
657;0.00015929999062791467;0.0002597999991849065;0.00017437600006815047;0.00016169999435078353;0.00016549999418202788;0.00018069999350700527
739;0.00017680000746622682;0.0002043999993475154;0.00018901600386016072;0.00018350000027567148;0.00018840000848285854;0.00019460001203697175
830;0.00019700000120792538;0.00026330001128371805;0.00021383600076660514;0.00020229999790899456;0.0002099999983329326;0.00022149999858811498
932;0.00022819999139755964;0.0002690999972401187;0.00023924399923998862;0.0002310999989276752;0.0002330000133952126;0.0002476999943610281
1047;0.00023410000721924007;0.00029579999682027847;0.0002466280019143596;0.00023700000019744039;0.0002386999985901639;0.0002480000111972913
1176;0.0003036999987671152;0.0004098999925190583;0.0003219199989689514;0.0003063999902224168;0.0003116000007139519;0.0003212000010535121
1321;0.0003394999948795885;0.0004098999925190583;0.0003574079996906221;0.00034500000765547156;0.00035119999665766954;0.00036470001214183867
1484;0.00037549999251496047;0.00044490001164376736;0.0003908960003172979;0.00038059998769313097;0.00038320000749081373;0.00039990000368561596
1668;0.0004149000014876947;0.0004608000017469749;0.0004365360003430396;0.00043069999082945287;0.0004349000082584098;0.0004405999934533611
1873;0.0004673000075854361;0.0006265999982133508;0.0005003999988548457;0.0004803000047104433;0.000490699996589683;0.0005015999922761694
2104;0.0005322999932104722;0.0006757000082870945;0.0005688359995838255;0.0005517999961739406;0.0005600999866146594;0.0005735000013373792
2364;0.0005729000113205984;0.0007178999949246645;0.0006429480016231537;0.0006296000065049157;0.0006445999897550792;0.0006523000047309324
2656;0.0006037000130163506;0.0008804999961284921;0.0007301119988551364;0.0007012999994913116;0.0007220999978017062;0.0007514999888371676
2983;0.0006891999946674332;0.0009760999964782968;0.0007949279993772506;0.0007661999989068136;0.0007845000072848052;0.0007990000012796372
3351;0.0007402000046567991;0.0010055000020656735;0.0008575680002104491;0.0008356000034837052;0.0008570000063627958;0.0008812000014586374
3764;0.0008452999900327995;0.001305300000240095;0.0009917319990927354;0.00096010000561364;0.0009724999981699511;0.0009979000024031848
4229;0.0009471999946981668;0.0014349999983096495;0.0010912079986883328;0.0010514000023249537;0.001064700001734309;0.0011040999961551279
4750;0.0010580999951343983;0.0013914000010117888;0.001213183999643661;0.0011945000005653128;0.0012090999953215942;0.0012396000092849135
5336;0.0011830000003101304;0.0020736000005854294;0.0013875239988556131;0.0013294999953359365;0.0013546999980462715;0.0013917000032961369
5994;0.0013608000008389354;0.0019184999982826412;0.0015422200004104525;0.0014842999953543767;0.001503100007539615;0.0015442000003531575
