phase_count;min;max;mean;q25;q50;q75
10;4.999979864805937e-06;1.750001683831215e-05;7.02000455930829e-06;5.699985194951296e-06;5.89998671784997e-06;6.300047971308231e-06
11;5.89998671784997e-06;1.8700025975704193e-05;8.256004657596349e-06;7.299997378140688e-06;7.700000423938036e-06;8.400005754083395e-06
12;5.100038833916187e-06;2.9999995604157448e-05;1.0879996698349715e-05;6.199989002197981e-06;8.600007276982069e-06;1.3499986380338669e-05
14;5.499983672052622e-06;0.00021889997879043221;1.624000957235694e-05;6.299989763647318e-06;6.599992047995329e-06;7.499998901039362e-06
15;5.500041879713535e-06;2.139998832717538e-05;7.932002190500498e-06;6.500049494206905e-06;6.89999433234334e-06;7.399998139590025e-06
17;6.199989002197981e-06;2.2799998987466097e-05;9.119999594986438e-06;7.099995855242014e-06;7.800001185387373e-06;8.90000956133008e-06
20;7.800001185387373e-06;8.38999985717237e-05;1.630799612030387e-05;9.299954399466515e-06;1.009996049106121e-05;1.3899989426136017e-05
22;6.399990525096655e-06;3.0199997127056122e-05;9.404001757502555e-06;7.099995855242014e-06;7.700000423938036e-06;8.200004231184721e-06
25;7.199996616691351e-06;2.340000355616212e-05;8.96799610927701e-06;7.800001185387373e-06;8.100003469735384e-06;8.600007276982069e-06
28;8.599949069321156e-06;3.1100003980100155e-05;1.255199545994401e-05;1.0199961252510548e-05;1.0499963536858559e-05;1.1399970389902592e-05
31;7.499998901039362e-06;5.189998773857951e-05;1.0371997486799955e-05;8.100003469735384e-06;8.499948307871819e-06;8.999952115118504e-06
35;7.399998139590025e-06;2.0599982235580683e-05;9.775997605174779e-06;8.90000956133008e-06;9.200011845678091e-06;9.7999582067132e-06
40;1.0599964298307896e-05;2.989999484270811e-05;1.2931993696838617e-05;1.1599971912801266e-05;1.2100033927708864e-05;1.2899981811642647e-05
45;8.600007276982069e-06;2.8499984182417393e-05;1.2716003693640232e-05;9.700015652924776e-06;1.0600022505968809e-05;1.2000033166259527e-05
50;1.0700023267418146e-05;3.759999526664615e-05;1.653600251302123e-05;1.2100033927708864e-05;1.309998333454132e-05;1.4699995517730713e-05
57;9.300012607127428e-06;3.279995871707797e-05;1.3232002966105937e-05;1.0600022505968809e-05;1.1399970389902592e-05;1.2700038496404886e-05
64;1.0000017937272787e-05;3.3100019209086895e-05;1.7104002181440593e-05;1.2299977242946625e-05;1.3100041542202234e-05;2.0599982235580683e-05
72;1.2000033166259527e-05;2.2799998987466097e-05;1.3956001494079828e-05;1.309998333454132e-05;1.3400043826550245e-05;1.4099990949034691e-05
81;1.1700030881911516e-05;3.91000066883862e-05;1.7711999826133253e-05;1.3999990187585354e-05;1.5300000086426735e-05;1.73999578692019e-05
91;1.2999982573091984e-05;4.390004323795438e-05;2.237200504168868e-05;1.5900004655122757e-05;1.769996015354991e-05;3.15000070258975e-05
102;1.4099990949034691e-05;4.5900000259280205e-05;2.032000105828047e-05;1.6700010746717453e-05;1.71000137925148e-05;2.0700041204690933e-05
114;1.7400016076862812e-05;6.980000762268901e-05;3.0515992548316718e-05;2.2599997464567423e-05;2.640002639964223e-05;3.3999967854470015e-05
129;2.1499989088624716e-05;6.89999433234334e-05;3.299599979072809e-05;2.340000355616212e-05;2.500001573935151e-05;4.190002800896764e-05
145;1.9499973859637976e-05;8.209998486563563e-05;2.6791999116539954e-05;2.1899992134422064e-05;2.2899999748915434e-05;2.559996210038662e-05
162;2.4600012693554163e-05;7.379997987300158e-05;4.185999743640423e-05;3.330002073198557e-05;3.709999145939946e-05;4.47999918833375e-05
183;2.8199981898069382e-05;7.120001828297973e-05;3.9555998519062996e-05;3.2400013878941536e-05;3.320001997053623e-05;4.139996599406004e-05
205;3.44999716617167e-05;6.809999467805028e-05;4.4787998776882885e-05;3.6100042052567005e-05;3.940000897273421e-05;5.229999078437686e-05
231;3.709999145939946e-05;7.760000880807638e-05;4.701200406998396e-05;4.050001734867692e-05;4.2600033339113e-05;4.7600013203918934e-05
259;4.179996903985739e-05;6.9500005338341e-05;5.2428001072257754e-05;4.509999416768551e-05;5.150004290044308e-05;5.97000471316278e-05
291;5.280005279928446e-05;8.999998681247234e-05;5.9744003228843214e-05;5.470000905916095e-05;5.690002581104636e-05;5.959998816251755e-05
327;3.9700011257082224e-05;8.11999780125916e-05;5.1428007427603e-05;4.45000478066504e-05;4.840001929551363e-05;5.339999916031957e-05
