phase_count;min;max;mean;q25;q50;q75
10;5.299996701069176e-06;1.650000922381878e-05;8.232001564465463e-06;6.200003554113209e-06;6.600006599910557e-06;1.030000566970557e-05
11;4.999994416721165e-06;1.720000000204891e-05;7.863998762331903e-06;5.900001269765198e-06;6.800008122809231e-06;8.600007276982069e-06
12;5.4000120144337416e-06;1.5700003132224083e-05;7.644002907909453e-06;6.000002031214535e-06;6.600006599910557e-06;8.400005754083395e-06
14;5.49999822396785e-06;1.9199986127205193e-05;7.4839993612840774e-06;5.800000508315861e-06;6.199989002197981e-06;7.099995855242014e-06
15;5.399997462518513e-06;1.3700002455152571e-05;6.852000369690359e-06;5.800000508315861e-06;6.100002792663872e-06;6.800008122809231e-06
17;5.599998985417187e-06;1.4800010831095278e-05;7.835999713279308e-06;6.299989763647318e-06;6.700007361359894e-06;7.800001185387373e-06
20;6.100002792663872e-06;2.3300002794712782e-05;7.756001432426274e-06;6.499991286545992e-06;6.799993570894003e-06;7.300011930055916e-06
22;6.199989002197981e-06;2.680000034160912e-05;7.987999124452472e-06;6.400005077011883e-06;6.800008122809231e-06;7.299997378140688e-06
25;6.700007361359894e-06;2.2799998987466097e-05;8.779999916441739e-06;7.100010407157242e-06;7.599999662488699e-06;8.500006515532732e-06
28;6.700007361359894e-06;1.8699996871873736e-05;9.475999395363032e-06;7.299997378140688e-06;7.700000423938036e-06;9.2999980552122e-06
31;7.000009645707905e-06;1.650000922381878e-05;8.30399920232594e-06;7.399998139590025e-06;8.000002708286047e-06;8.29999044071883e-06
35;7.299997378140688e-06;1.4200006262399256e-05;8.475998183712364e-06;8.000002708286047e-06;8.100003469735384e-06;8.499991963617504e-06
40;8.400005754083395e-06;1.9499988411553204e-05;1.0763999307528138e-05;8.999995770864189e-06;1.0200004908256233e-05;1.0800009476952255e-05
45;8.400005754083395e-06;2.61999957729131e-05;1.0332000092603266e-05;9.099996532313526e-06;9.2999980552122e-06;9.60000033956021e-06
50;8.799994247965515e-06;2.540000423323363e-05;1.181200030259788e-05;9.200011845678091e-06;9.499999578110874e-06;1.1299998732283711e-05
57;9.099996532313526e-06;2.02999945031479e-05;1.0683999280445277e-05;9.60000033956021e-06;1.0000003385357559e-05;1.0500007192604244e-05
64;1.0299991117790341e-05;3.2199997804127634e-05;1.4559999108314514e-05;1.0899995686486363e-05;1.2999997125007212e-05;1.4500008546747267e-05
72;1.0899995686486363e-05;9.85000078799203e-05;1.6160000814124943e-05;1.1299998732283711e-05;1.1600001016631722e-05;1.2299991794861853e-05
81;1.1399999493733048e-05;3.959999594371766e-05;1.5111998654901982e-05;1.2099990271963179e-05;1.2600008631125093e-05;1.4399993233382702e-05
91;1.2499993317760527e-05;4.1799998143687844e-05;1.9331999938003718e-05;1.5399986295960844e-05;1.789999078027904e-05;1.920000067912042e-05
102;1.3900003978051245e-05;6.819999543949962e-05;1.9804000039584935e-05;1.5099998563528061e-05;1.7600003047846258e-05;1.8300008377991617e-05
114;1.4999997802078724e-05;3.029999788850546e-05;1.7079999088309707e-05;1.5199999324977398e-05;1.580000389367342e-05;1.720000000204891e-05
129;1.5600002370774746e-05;3.4199998481199145e-05;2.061199804302305e-05;1.6399993910454214e-05;1.7400001524947584e-05;2.439999661874026e-05
145;1.720000000204891e-05;3.1099989428184927e-05;2.0411998266354204e-05;1.7600003047846258e-05;1.85999961104244e-05;2.2099993657320738e-05
162;1.8699996871873736e-05;2.920000406447798e-05;2.118800301104784e-05;1.9500002963468432e-05;2.0100007532164454e-05;2.2400010493583977e-05
183;2.0700012100860476e-05;3.429999924264848e-05;2.4704000097699463e-05;2.2099993657320738e-05;2.370000584051013e-05;2.549999044276774e-05
205;2.2099993657320738e-05;4.180001269560307e-05;2.6283999904990196e-05;2.300000051036477e-05;2.409999433439225e-05;2.610000956337899e-05
231;2.5500004994682968e-05;7.439999899361283e-05;3.9004001300781966e-05;3.130000550299883e-05;3.2800002372823656e-05;4.199999966658652e-05
259;2.7600006433203816e-05;9.000000136438757e-05;4.225600103382021e-05;3.359999391250312e-05;3.879998985212296e-05;4.410000110510737e-05
291;3.9999998989515007e-05;0.00012409999908413738;5.3104001563042405e-05;4.2100000428035855e-05;4.570001328829676e-05;5.77000027988106e-05
327;3.290000313427299e-05;4.329999501351267e-05;3.523599822074175e-05;3.359999391250312e-05;3.4199998481199145e-05;3.5599994589574635e-05
367;3.640000068116933e-05;6.720000237692147e-05;4.129200242459774e-05;3.7299992982298136e-05;3.780001134146005e-05;3.960001049563289e-05
413;4.050000279676169e-05;5.2100003813393414e-05;4.3644001125358044e-05;4.130000888835639e-05;4.199999966658652e-05;4.3499996536411345e-05
