phase_count;min;max;mean;q25;q50;q75
10;4.699977580457926e-06;1.3599987141788006e-05;6.032001692801714e-06;5.400041118264198e-06;5.599984433501959e-06;5.999987479299307e-06
11;4.499976057559252e-06;1.0999967344105244e-05;5.615998525172472e-06;5.199981387704611e-06;5.299982149153948e-06;5.599984433501959e-06
12;4.399975296109915e-06;3.7999998312443495e-05;7.2599994018673895e-06;5.299982149153948e-06;5.400041118264198e-06;5.900044925510883e-06
14;5.299982149153948e-06;1.1399970389902592e-05;6.223998498171568e-06;5.699985194951296e-06;5.89998671784997e-06;6.299989763647318e-06
15;4.999979864805937e-06;1.1400028597563505e-05;6.12000236287713e-06;5.599984433501959e-06;5.89998671784997e-06;6.199989002197981e-06
17;4.999979864805937e-06;1.2700038496404886e-05;6.603999063372612e-06;5.400041118264198e-06;5.89998671784997e-06;6.299989763647318e-06
20;5.699985194951296e-06;1.2500036973506212e-05;7.676004897803069e-06;6.499991286545992e-06;7.299997378140688e-06;8.200004231184721e-06
22;5.399982910603285e-06;1.190003240481019e-05;6.8959989584982396e-06;6.099988240748644e-06;6.499991286545992e-06;6.89999433234334e-06
25;5.399982910603285e-06;1.5900004655122757e-05;7.831999100744724e-06;6.599992047995329e-06;6.89999433234334e-06;8.300004992634058e-06
28;6.099988240748644e-06;1.550000160932541e-05;7.5199943967163565e-06;6.399990525096655e-06;6.699992809444666e-06;7.800001185387373e-06
31;6.699992809444666e-06;1.7000013031065464e-05;8.623995818197727e-06;7.299997378140688e-06;7.599999662488699e-06;8.400005754083395e-06
35;6.499991286545992e-06;1.5400000847876072e-05;7.931997533887624e-06;7.299997378140688e-06;7.499998901039362e-06;7.800001185387373e-06
40;7.099995855242014e-06;1.5300000086426735e-05;8.216002024710178e-06;7.399998139590025e-06;7.800001185387373e-06;8.400005754083395e-06
45;6.799993570894003e-06;0.0001382000045850873;1.4808003325015306e-05;7.90000194683671e-06;8.400005754083395e-06;1.0199961252510548e-05
50;7.999944500625134e-06;3.6400044336915016e-05;1.1008000001311302e-05;8.600007276982069e-06;9.300012607127428e-06;9.800016414374113e-06
57;7.700000423938036e-06;2.400000812485814e-05;1.0999995283782483e-05;9.000010322779417e-06;9.500014130026102e-06;1.0899966582655907e-05
64;8.700008038431406e-06;1.5199999324977398e-05;1.0288006160408259e-05;9.400013368576765e-06;1.0300020221620798e-05;1.0700023267418146e-05
72;9.300012607127428e-06;1.6000005416572094e-05;1.0556001216173172e-05;9.7999582067132e-06;1.0300020221620798e-05;1.0800024028867483e-05
81;1.0300020221620798e-05;2.6500027161091566e-05;1.4492005575448275e-05;1.2200034689158201e-05;1.3599987141788006e-05;1.580000389367342e-05
91;1.0399962775409222e-05;4.409998655319214e-05;1.3963996898382903e-05;1.160003012046218e-05;1.2100033927708864e-05;1.2999982573091984e-05
102;1.2399978004395962e-05;2.8199981898069382e-05;1.6012003179639578e-05;1.2899981811642647e-05;1.379998866468668e-05;1.6400008462369442e-05
114;1.1599971912801266e-05;4.099996294826269e-05;1.6751999501138924e-05;1.3899989426136017e-05;1.4599994756281376e-05;1.7600017599761486e-05
129;1.290004001930356e-05;2.2199994418770075e-05;1.575599890202284e-05;1.4699995517730713e-05;1.5600002370774746e-05;1.650000922381878e-05
145;1.3699987903237343e-05;2.8300040867179632e-05;1.925199991092086e-05;1.6700010746717453e-05;1.8199963960796595e-05;2.2499996703118086e-05
162;1.610000617802143e-05;3.379996633157134e-05;2.2712002974003553e-05;1.7700018361210823e-05;2.0799983758479357e-05;2.700003096833825e-05
183;2.670002868399024e-05;5.0099974032491446e-05;3.330799750983715e-05;2.9999995604157448e-05;3.060000017285347e-05;3.4699973184615374e-05
205;2.619996666908264e-05;5.8699981309473515e-05;3.83480079472065e-05;3.270001616328955e-05;3.570003900676966e-05;4.299997817724943e-05
231;3.570003900676966e-05;5.259999306872487e-05;4.323199624195695e-05;4.0300015825778246e-05;4.39999857917428e-05;4.5900000259280205e-05
259;3.679998917505145e-05;8.969998452812433e-05;4.747600760310888e-05;3.960001049563289e-05;4.280003486201167e-05;5.050003528594971e-05
291;4.010001430287957e-05;7.84999574534595e-05;4.8915990628302094e-05;4.460004856809974e-05;4.67000063508749e-05;5.050003528594971e-05
327;2.7699978090822697e-05;5.360000068321824e-05;3.4796001855283976e-05;3.160000778734684e-05;3.290001768618822e-05;3.559998003765941e-05
