phase_count;min;max;mean;q25;q50;q75
10;4.6000059228390455e-06;1.4999997802078724e-05;5.896000657230616e-06;5.199995939619839e-06;5.299996701069176e-06;5.699999746866524e-06
11;4.899993655271828e-06;1.720000000204891e-05;6.459999713115394e-06;5.199995939619839e-06;5.399997462518513e-06;6.100002792663872e-06
12;5.099995178170502e-06;1.410000550094992e-05;6.004002061672509e-06;5.3000112529844046e-06;5.599998985417187e-06;5.89998671784997e-06
14;4.8000074457377195e-06;1.3299999409355223e-05;6.292000180110336e-06;5.199995939619839e-06;5.4000120144337416e-06;6.000002031214535e-06
15;4.899993655271828e-06;2.5300003471784294e-05;6.595998420380056e-06;5.1000097300857306e-06;5.299996701069176e-06;5.800000508315861e-06
17;5.199995939619839e-06;1.440000778529793e-05;6.452001398429274e-06;5.399997462518513e-06;5.800000508315861e-06;6.300004315562546e-06
20;5.49999822396785e-06;1.3600001693703234e-05;7.45600089430809e-06;6.100002792663872e-06;7.099995855242014e-06;7.499998901039362e-06
22;5.49999822396785e-06;2.379999205004424e-05;9.35599789954722e-06;6.200003554113209e-06;7.199996616691351e-06;1.1299998732283711e-05
25;5.699999746866524e-06;1.4300007023848593e-05;7.468000985682011e-06;6.200003554113209e-06;7.100010407157242e-06;8.100003469735384e-06
28;7.099995855242014e-06;1.790000533219427e-05;9.019999415613711e-06;7.499998901039362e-06;8.099988917820156e-06;9.099996532313526e-06
31;5.699999746866524e-06;1.4399993233382702e-05;7.291999645531178e-06;6.300004315562546e-06;6.699992809444666e-06;7.399998139590025e-06
35;6.199989002197981e-06;1.3500000932253897e-05;7.347998907789588e-06;6.499991286545992e-06;6.89999433234334e-06;7.399998139590025e-06
40;6.400005077011883e-06;1.2699994840659201e-05;7.2839978383854034e-06;6.599992047995329e-06;7.099995855242014e-06;7.299997378140688e-06
45;6.799993570894003e-06;1.440000778529793e-05;7.735998369753361e-06;6.999995093792677e-06;7.399998139590025e-06;7.799986633472145e-06
50;7.299997378140688e-06;1.5199999324977398e-05;8.759999182075263e-06;7.800001185387373e-06;8.000002708286047e-06;8.800008799880743e-06
57;7.799986633472145e-06;1.550000160932541e-05;8.91599920578301e-06;8.100003469735384e-06;8.300004992634058e-06;9.199997293762863e-06
64;7.90000194683671e-06;1.3900003978051245e-05;9.071999811567366e-06;8.200004231184721e-06;8.600007276982069e-06;9.60000033956021e-06
72;8.199989679269493e-06;4.1400009649805725e-05;1.1260001338087023e-05;8.400005754083395e-06;9.000010322779417e-06;1.030000566970557e-05
81;9.199997293762863e-06;2.1599989850074053e-05;1.2795999646186829e-05;1.1399999493733048e-05;1.1999989510513842e-05;1.2800010154023767e-05
91;1.1299998732283711e-05;4.4200001866556704e-05;1.5688000712543725e-05;1.200000406242907e-05;1.2899996363557875e-05;1.3600001693703234e-05
102;1.0499992640689015e-05;2.4299995857290924e-05;1.3292000512592494e-05;1.1099997209385037e-05;1.2499993317760527e-05;1.3299999409355223e-05
114;1.0700008715502918e-05;1.789999078027904e-05;1.2555997236631811e-05;1.1199997970834374e-05;1.1899988749064505e-05;1.340000017080456e-05
129;1.1299998732283711e-05;4.6599991037510335e-05;1.5931998495943846e-05;1.2400007108226418e-05;1.4599994756281376e-05;1.5900004655122757e-05
145;1.2500007869675756e-05;2.4900000425986946e-05;1.4688001247122884e-05;1.2800010154023767e-05;1.3199998647905886e-05;1.4099990949034691e-05
162;1.2999997125007212e-05;2.0000006770715117e-05;1.4904001727700233e-05;1.3800003216601908e-05;1.4800010831095278e-05;1.550000160932541e-05
