phase_count;min;max;mean;q25;q50;q75
10;4.400033503770828e-06;1.3899989426136017e-05;5.612003151327371e-06;4.8999791033566e-06;5.200039595365524e-06;5.400041118264198e-06
11;4.499976057559252e-06;1.2699980288743973e-05;6.083997432142496e-06;5.099980626255274e-06;5.399982910603285e-06;6.099988240748644e-06
12;4.599976819008589e-06;1.179997343569994e-05;6.108004599809647e-06;5.100038833916187e-06;5.500041879713535e-06;5.89998671784997e-06
14;4.799978341907263e-06;3.890000516548753e-05;7.755998522043229e-06;5.499983672052622e-06;5.999987479299307e-06;6.999995093792677e-06
15;4.8999791033566e-06;1.279998105019331e-05;6.064006593078375e-06;5.199981387704611e-06;5.700043402612209e-06;6.300047971308231e-06
17;4.999979864805937e-06;1.9099970813840628e-05;8.143996819853782e-06;5.399982910603285e-06;5.999987479299307e-06;9.90001717582345e-06
20;5.700043402612209e-06;1.7200014553964138e-05;9.832000359892846e-06;8.399947546422482e-06;9.000010322779417e-06;9.899958968162537e-06
22;4.999979864805937e-06;1.3399985618889332e-05;6.8239984102547165e-06;5.999987479299307e-06;6.499991286545992e-06;6.89999433234334e-06
25;5.300040356814861e-06;1.2999982573091984e-05;7.363997865468264e-06;6.399990525096655e-06;6.799993570894003e-06;7.90000194683671e-06
28;6.099988240748644e-06;2.7300033252686262e-05;9.271996095776558e-06;6.599992047995329e-06;7.100054062902927e-06;8.899951353669167e-06
31;6.100046448409557e-06;1.780001912266016e-05;7.772003300487995e-06;6.499991286545992e-06;7.299997378140688e-06;7.800001185387373e-06
35;6.199989002197981e-06;1.4499993994832039e-05;7.6960027217865e-06;6.799993570894003e-06;7.499998901039362e-06;8.000002708286047e-06
40;6.599992047995329e-06;1.92999723367393e-05;9.403994772583246e-06;7.599999662488699e-06;7.90000194683671e-06;8.90000956133008e-06
45;6.699992809444666e-06;1.5900004655122757e-05;8.923998102545738e-06;7.700000423938036e-06;8.300004992634058e-06;8.800008799880743e-06
50;7.599999662488699e-06;1.550000160932541e-05;1.0156002826988696e-05;8.600007276982069e-06;8.90000956133008e-06;1.1500029359012842e-05
57;7.800001185387373e-06;1.4300050679594278e-05;9.792004711925983e-06;9.09995287656784e-06;9.700015652924776e-06;1.0199961252510548e-05
64;8.999952115118504e-06;1.73999578692019e-05;1.077599823474884e-05;9.600014891475439e-06;1.0300020221620798e-05;1.0800024028867483e-05
72;1.0000017937272787e-05;1.9599974621087313e-05;1.2748013250529767e-05;1.0800024028867483e-05;1.2300035450607538e-05;1.4599994756281376e-05
81;1.910002902150154e-05;4.509999416768551e-05;2.4524000473320484e-05;2.210005186498165e-05;2.3100001271814108e-05;2.4699955247342587e-05
91;2.1799991372972727e-05;4.339998122304678e-05;2.5443993508815764e-05;2.370000584051013e-05;2.4499953724443913e-05;2.5500019546598196e-05
102;1.0899966582655907e-05;2.2799998987466097e-05;1.454800134524703e-05;1.2999982573091984e-05;1.3699987903237343e-05;1.4899997040629387e-05
114;1.1599971912801266e-05;2.8799986466765404e-05;1.6416001599282027e-05;1.3999990187585354e-05;1.4699995517730713e-05;1.8000020645558834e-05
129;1.3899989426136017e-05;2.4300010409206152e-05;1.6383999027311803e-05;1.5300000086426735e-05;1.6000005416572094e-05;1.6700010746717453e-05
145;1.650000922381878e-05;4.5900000259280205e-05;3.501600120216608e-05;3.270001616328955e-05;3.709999145939946e-05;3.920000744983554e-05
162;3.4299970138818026e-05;5.690002581104636e-05;4.153199959546327e-05;3.63999861292541e-05;3.860000288113952e-05;4.510005237534642e-05
183;3.860000288113952e-05;5.959998816251755e-05;4.336000420153141e-05;3.99000127799809e-05;4.1000021155923605e-05;4.3899985030293465e-05
205;4.2000028770416975e-05;6.900000153109431e-05;5.059999180957675e-05;4.47999918833375e-05;4.7600013203918934e-05;5.4500007536262274e-05
231;4.6900007873773575e-05;6.940000457689166e-05;5.3875993471592666e-05;5.0399976316839457e-05;5.119998240843415e-05;5.5800017435103655e-05
259;5.420000525191426e-05;8.160003926604986e-05;6.608400261029601e-05;6.19000056758523e-05;6.479996955022216e-05;7.020001066848636e-05
291;5.860003875568509e-05;8.720002369955182e-05;6.537599489092827e-05;5.9999991208314896e-05;6.249995203688741e-05;6.719998782500625e-05
327;2.8499984182417393e-05;6.349995965138078e-05;3.7595992907881736e-05;3.2100011594593525e-05;3.4400029107928276e-05;4.1599967516958714e-05
367;6.84000551700592e-05;0.00010760000441223383;8.541199844330549e-05;7.940002251416445e-05;8.60999571159482e-05;9.049999061971903e-05
