phase_count;min;max;mean;q25;q50;q75
10;4.699992132373154e-06;1.4000004739500582e-05;5.80000109039247e-06;5.099995178170502e-06;5.399997462518513e-06;5.599998985417187e-06
11;4.6000059228390455e-06;1.5400000847876072e-05;5.788001581095159e-06;4.9000082071870565e-06;5.199995939619839e-06;5.599998985417187e-06
12;4.399989848025143e-06;1.0899995686486363e-05;5.4119987180456515e-06;4.999994416721165e-06;5.199995939619839e-06;5.399997462518513e-06
14;4.9000082071870565e-06;1.1999989510513842e-05;5.779999773949385e-06;5.199995939619839e-06;5.49999822396785e-06;5.800000508315861e-06
15;4.999994416721165e-06;1.920000067912042e-05;7.187998853623867e-06;5.299996701069176e-06;5.800000508315861e-06;6.699992809444666e-06
17;5.099995178170502e-06;1.4500008546747267e-05;6.340001709759235e-06;5.49999822396785e-06;5.699999746866524e-06;6.100002792663872e-06
20;5.49999822396785e-06;1.3600001693703234e-05;7.095999317243695e-06;6.199989002197981e-06;6.599992047995329e-06;7.099995855242014e-06
22;5.599998985417187e-06;1.340000017080456e-05;7.011998677626252e-06;5.900001269765198e-06;6.199989002197981e-06;6.999995093792677e-06
25;5.699999746866524e-06;1.340000017080456e-05;7.79600057285279e-06;6.100002792663872e-06;7.100010407157242e-06;7.90000194683671e-06
28;1.170000177808106e-05;2.020000829361379e-05;1.3359999284148217e-05;1.200000406242907e-05;1.2699994840659201e-05;1.3700002455152571e-05
31;6.299989763647318e-06;1.8799997633323073e-05;8.55599995702505e-06;6.800008122809231e-06;7.099995855242014e-06;8.500006515532732e-06
35;6.599992047995329e-06;1.7999991541728377e-05;8.444000268355012e-06;7.299997378140688e-06;7.50001345295459e-06;8.100003469735384e-06
40;6.89999433234334e-06;3.0199997127056122e-05;1.0131996823474765e-05;7.499998901039362e-06;8.099988917820156e-06;1.0399991879239678e-05
45;7.100010407157242e-06;2.570000651758164e-05;1.042800082359463e-05;7.299997378140688e-06;8.399991202168167e-06;1.0800009476952255e-05
50;7.000009645707905e-06;1.4899997040629387e-05;8.923998684622348e-06;7.899987394921482e-06;8.199989679269493e-06;8.899995009414852e-06
57;8.000002708286047e-06;1.8499995348975062e-05;1.0503999073989689e-05;9.2999980552122e-06;1.030000566970557e-05;1.0899995686486363e-05
64;8.000002708286047e-06;1.5900004655122757e-05;9.744000271894037e-06;8.400005754083395e-06;8.600007276982069e-06;1.0200004908256233e-05
72;8.499991963617504e-06;2.5999994250014424e-05;1.0723999585025013e-05;9.199997293762863e-06;9.700001101009548e-06;1.1199997970834374e-05
81;1.8600010662339628e-05;3.6299999919719994e-05;2.3539998219348492e-05;2.0500010577961802e-05;2.1899992134422064e-05;2.609999501146376e-05
91;2.0399995264597237e-05;3.4199998481199145e-05;2.3715998977422715e-05;2.2100008209235966e-05;2.300000051036477e-05;2.409999433439225e-05
102;1.069999416358769e-05;0.00010620000830385834;2.09319987334311e-05;1.2499993317760527e-05;1.5699988580308855e-05;2.02999945031479e-05
114;1.170000177808106e-05;3.12999909510836e-05;1.7531999619677664e-05;1.3700002455152571e-05;1.5300000086426735e-05;2.0499996026046574e-05
129;1.1999989510513842e-05;4.260000423528254e-05;1.8247998668812214e-05;1.3299999409355223e-05;1.4899997040629387e-05;1.8399994587525725e-05
145;3.0099996365606785e-05;5.360000068321824e-05;3.6736000911332664e-05;3.3200005418621004e-05;3.480000304989517e-05;3.739999374374747e-05
162;3.519999154377729e-05;9.09000082174316e-05;5.0656000967137514e-05;3.779999678954482e-05;4.600000102072954e-05;6.839999696239829e-05
183;4.400000034365803e-05;0.00016539999342057854;6.594400096219033e-05;5.4899996030144393e-05;5.7900004321709275e-05;6.70000008540228e-05
205;4.820000322069973e-05;0.00012340000830590725;7.05120014026761e-05;5.6800010497681797e-05;6.699998630210757e-05;8.089999028015882e-05
231;4.749999789055437e-05;0.00011530000483617187;6.200400064699352e-05;5.200000305194408e-05;5.780000356025994e-05;6.489999941550195e-05
259;5.6900011259131134e-05;0.00010259999544359744;8.060800144448876e-05;6.690000009257346e-05;8.550001075491309e-05;9.030000364873558e-05
291;6.0300008044578135e-05;0.00019120000069960952;7.924800040200353e-05;6.550000398419797e-05;7.259999983943999e-05;8.089999028015882e-05
327;2.4199995095841587e-05;0.00015369999164249748;4.499199741985649e-05;2.5899993488565087e-05;3.399999695830047e-05;4.7599998652003706e-05
367;6.769999163225293e-05;0.00013010000111535192;8.216400048695505e-05;7.149999146349728e-05;7.439999899361283e-05;8.89999937498942e-05
413;6.590000702999532e-05;0.00013949999993201345;9.542399900965393e-05;7.989999721758068e-05;9.309999586548656e-05;0.00010969999129883945
464;8.450000314041972e-05;0.000251600009505637;0.0001224880019435659;9.34000127017498e-05;0.00010710000060498714;0.0001353999978164211
521;9.300000965595245e-05;0.0001993000041693449;0.0001354360004188493;0.00010979999206028879;0.00013089999265503138;0.0001613000058569014
585;9.869999485090375e-05;0.00021040000137872994;0.00013316400058101862;0.00011050001194234937;0.0001233000075444579;0.00014960000407882035
657;0.00013669999316334724;0.0004973000031895936;0.00018332400126382708;0.00014590000500902534;0.00016939999477472156;0.0001942999952007085
739;0.00013270000636111945;0.00031149999995250255;0.0001818400016054511;0.00015219999477267265;0.00016510000568814576;0.0001905000099213794
830;0.0001286999904550612;0.00024760000815149397;0.00018203199782874436;0.00016090000281110406;0.000182400006451644;0.00019409999367780983
932;0.00015509998775087297;0.0003108999953838065;0.00020121200068388135;0.0001621999981580302;0.00019130000146105886;0.00021980000019539148
1047;7.049999840091914e-05;0.0004712000081781298;0.00018887200218159706;0.00011979999544564635;0.00018309999722987413;0.00021260000357870013
1176;0.00014560000272467732;0.00036380000528879464;0.0002035439998144284;0.00016200001118704677;0.00018050000653602183;0.00022280000848695636
1321;0.00016500000492669642;0.00027319999935571104;0.0002034959994489327;0.0001832999987527728;0.00019609999435488135;0.00021939999714959413
1484;0.0001782000035746023;0.0002964000013889745;0.000213408000417985;0.0001962000096682459;0.00020450000010896474;0.00021349999587982893
1668;0.00019710000196937472;0.00043169999844394624;0.0002662479976424947;0.00022190000163391232;0.00025209999876096845;0.0002921999985119328
1873;0.00023549998877570033;0.0004195000074105337;0.0003102639986900613;0.00026889999571722;0.000298400002066046;0.00033710000570863485
2104;0.00023459999647457153;0.0005175000114832073;0.00029953999852295966;0.0002530000056140125;0.00027069999487139285;0.0003313999914098531
2364;0.0002705000079004094;0.0005907000013394281;0.0003686560009373352;0.0003007000050274655;0.0003324999997857958;0.00042019999818876386
2656;0.00029260000155773014;0.0005006999999750406;0.0003798360010841861;0.00031450000824406743;0.00037119998887646943;0.0004364000051282346
2983;0.00031579998903907835;0.0006723000115016475;0.0004027920006774366;0.000352299990481697;0.00037570000858977437;0.0004098000063095242
3351;0.0003716999926837161;0.0006656000041402876;0.0004990800004452466;0.00041870000131893903;0.000447300000814721;0.0006005999894114211
3764;0.00040040000749286264;0.0009732999897096306;0.0005782400007592514;0.0004393999988678843;0.0005437999934656546;0.0006510999955935404
4229;0.0004577000072458759;0.0008664000051794574;0.0005814280005870387;0.00048519999836571515;0.0005649000086123124;0.0006614000012632459
4750;0.0005131999932928011;0.0009955000132322311;0.0006853919994318858;0.0005775000026915222;0.000665400002617389;0.0007620999967912212
5336;0.0006126999942352995;0.0021502000017790124;0.0008191559999249876;0.0006551999977091327;0.000701400000252761;0.0008652000105939806
5994;0.0006193000008352101;0.0012751000031130388;0.0008065039973007515;0.0006705999985570088;0.0007680999988224357;0.0009180000051856041
6734;0.00069039998925291;0.0013722999865422025;0.0009164520003832877;0.0007489999989047647;0.0008567000040784478;0.0010456000018166378
7564;0.0008091000054264441;0.002715199996600859;0.0011224959994433448;0.0008934000070439652;0.0009606000094208866;0.0012060000008204952
8497;0.0009232000011252239;0.002206699995440431;0.0012057439994532615;0.0009979000024031848;0.0011319999903207645;0.0012992999982088804
9545;0.0009588000102667138;0.0017679000011412427;0.0012335800030268728;0.0010817000002134591;0.0012015999964205548;0.001312099993810989
10722;0.001128100004279986;0.0024535999982617795;0.00150828399870079;0.0012328000011621043;0.0013532000011764467;0.001716600003419444
12045;0.0012987999944016337;0.002437100003589876;0.001694403999717906;0.0014599999994970858;0.0016257000097539276;0.001752299998770468
13530;0.0014737999881617725;0.0036496999964583665;0.0021979639993514864;0.001647700002649799;0.0020382000075187534;0.0026267999928677455
15199;0.0025825999910011888;0.003972199992858805;0.0030968679988291115;0.0028141000075265765;0.00297429999045562;0.0033321000082651153
17073;0.0017392000008840114;0.0038108000007923692;0.002527272003353573;0.002188500002375804;0.002468700011377223;0.0027566000062506646
19179;0.002076800010399893;0.0039739000058034435;0.0025943640002515167;0.0022757999977329746;0.0024913999950513244;0.002705999999307096
21544;0.0023665999906370416;0.0036862000124529004;0.0028748800000175834;0.0026892000023508444;0.0028239999955985695;0.0030549000075552613
24201;0.002702600002521649;0.003913099993951619;0.0031393559987191112;0.002890299991122447;0.0030974999972386286;0.003360699993208982
27185;0.002895799989346415;0.004286299998057075;0.003359940000809729;0.0031235999922500923;0.0032838000042829663;0.0035405000089667737
30538;0.0034564000088721514;0.004709999993792735;0.003980275999638252;0.003618799994001165;0.004062000007252209;0.004260499990778044
34304;0.0037492999981623143;0.00566419999813661;0.004676540000946261;0.004211999999824911;0.0048150000075111166;0.005062500000349246
38535;0.004251999998814426;0.00660789999528788;0.004972591999103315;0.004517699999269098;0.004756299997097813;0.00527600001078099
43287;0.004686499989475124;0.006554699997650459;0.005517659999895841;0.005059999995864928;0.005582999991020188;0.005917299989960156
48626;0.005058800001279451;0.01176609999674838;0.007293735999846831;0.005745100002968684;0.006243600000743754;0.009481300003244542
54622;0.005806900007883087;0.010725000000093132;0.007174715999281034;0.0064359999960288405;0.006690499998512678;0.00760949999676086
61359;0.006824900003266521;0.009766699993633665;0.007789228000910952;0.007136899992474355;0.00779770000372082;0.008135500000207685
68926;0.006990499998209998;0.017218199995113537;0.01173882800154388;0.008784000005107373;0.010349400006816722;0.015420900002936833
77426;0.008796599999186583;0.013969399995403364;0.01051503200083971;0.00958679999166634;0.010162599995965138;0.011138900008518249
86974;0.010289400001056492;0.020310399995651096;0.013306335999513976;0.0106342999933986;0.012161999999079853;0.015617400000337511
97700;0.0111587999999756;0.021648499998264015;0.013338463999680243;0.011941299992031418;0.01238980000198353;0.013377900002524257
109749;0.0117966000107117;0.01613760000327602;0.013437023999285884;0.01292630001262296;0.01325429999269545;0.013823300003423356
123284;0.013743000003159977;0.02736680000089109;0.017677880001137965;0.014946800001780502;0.015388499989057891;0.018294499997864477
138488;0.01530790000106208;0.029762799997115508;0.019156047998694702;0.0168102000025101;0.01734720000240486;0.018258099997183308
155567;0.01764279999770224;0.03406309999991208;0.021136656000162474;0.01852080000389833;0.01936619999469258;0.020856100003584288
174752;0.01910100001259707;0.03720200000680052;0.023410240000812335;0.020992000005207956;0.021900000007008202;0.023400499994750135
196304;0.02214060000551399;0.045107999991159886;0.02779643199930433;0.02372040000045672;0.024348699997062795;0.026545500004431233
220513;0.024544899992179126;0.04525909999210853;0.029599900001776404;0.02699209999991581;0.02794319999520667;0.02901120000751689
247707;0.026434200000949204;0.05435540000326;0.03385450399830006;0.029725000000325963;0.030104499994195066;0.03149959999427665
278255;0.03172739999718033;0.05592949999845587;0.03798442799830809;0.033608799989451654;0.03473459999077022;0.037815100004081614
312571;0.03447859999141656;0.06690030000754632;0.04378795999626164;0.03816509999160189;0.03954399999929592;0.04360609999275766
351119;0.039922600000863895;0.07414820000121836;0.04766492799913977;0.04171889999997802;0.04368370000156574;0.046903999987989664
394420;0.0465606000070693;0.0816602000122657;0.055172264000284486;0.048115300000063144;0.04897309999796562;0.06105780000507366
443062;0.05179430000134744;0.08638130000326782;0.05990622800251003;0.05424650000350084;0.05624740000348538;0.05908790000830777
497702;0.05498440000519622;0.09484030000749044;0.06704521200212184;0.059512300009373575;0.06334140000399202;0.06724530000064988
559081;0.06561810000857804;0.09735739999450743;0.07583343200210947;0.06757860000652727;0.07305160000396427;0.07805460000236053
628029;0.075854700000491;0.10386190000281204;0.08509047199971974;0.07706409999809694;0.08241550000093412;0.09179489999951329
705480;0.08408289999351837;0.12426189999678172;0.09796173999959137;0.086228400003165;0.0920239999977639;0.1123892000032356
792482;0.08701730000029784;0.1292715000017779;0.1067104480008129;0.09784159999981057;0.1034293999982765;0.117149600002449
890215;0.10564789999625646;0.14707289999932982;0.12362371999886818;0.11071779999474529;0.12115669999911916;0.13416719999804627
1000000;0.1091735000081826;0.14542509999591857;0.13522009600128512;0.1309144999977434;0.1375642000057269;0.14052390000142623
