phase_count;min;max;mean;q25;q50;q75
10;0.0011264999920967966;0.0015051999944262207;0.0011768239992670715;0.0011363000085111707;0.0011484000133350492;0.0011765999952331185
11;0.0012854999804403633;0.001431100012268871;0.0013139239989686758;0.001295499998377636;0.0012998000020161271;0.0013072000001557171
12;0.0014838999777566642;0.0019147999992128462;0.0015224639989901334;0.0014925999857950956;0.0014976999955251813;0.0015257000050041825
14;0.0018828999891411513;0.0023982000129763037;0.001987387997796759;0.0018994999991264194;0.0019564999965950847;0.0020369999983813614
15;0.0020872000022791326;0.002830200013704598;0.002275124000152573;0.0021142999758012593;0.0021917000121902674;0.002321100007975474
17;0.0025559999921824783;0.004017400002339855;0.002842788001289591;0.002597600017907098;0.002737700007855892;0.002940499980468303
20;0.003362400020705536;0.004851800011238083;0.0036406080063898115;0.003423600021051243;0.003552999987732619;0.003683000017190352
22;0.004029300005640835;0.0081190999771934;0.004674759993795305;0.004137000010814518;0.0042603999900165945;0.004838799999561161
25;0.004837999993469566;0.005473800003528595;0.004925087998853997;0.00485219998518005;0.00490109997917898;0.00493669998832047
28;0.0059176999784540385;0.007513400021707639;0.0064042719977442175;0.006101099977968261;0.006319499982055277;0.0066547000024002045
31;0.007028899999568239;0.009697900008177385;0.007837608004920185;0.0072410000138916075;0.007556299999123439;0.008148599998094141
35;0.008708499983185902;0.011763200018322095;0.009258672001305968;0.00875919999089092;0.008857200009515509;0.009609200002159923
40;0.011057800002163276;0.012626100011402741;0.01148022800218314;0.01115790000767447;0.011341900011757389;0.011702899995725602
45;0.013631799985887483;0.015253699995810166;0.014301828001625836;0.013863100000889972;0.01433149998774752;0.014693699980853125
50;0.016500900004757568;0.018263300007674843;0.016971452001016588;0.016627299977699295;0.01676570001291111;0.017178399983095005
57;0.02099710001493804;0.02700080000795424;0.022487608001101764;0.021132800000486895;0.021931800001766533;0.022945300006540492
64;0.02593840000918135;0.032777000014903024;0.02740632000262849;0.02627490001032129;0.02716689999215305;0.02780360000906512
72;0.0322767999896314;0.039845300023444;0.034778363998048005;0.0334965999936685;0.034166400000685826;0.03512739998404868
81;0.040206900011980906;0.04429819999495521;0.04229383600177243;0.04182600000058301;0.04218990000663325;0.04271319997496903
91;0.050216899981023744;0.05403850000584498;0.052170200000982735;0.0517491000064183;0.052256900002248585;0.05266370001481846
102;0.062450299999909475;0.07054850002168678;0.06573033199645578;0.06458599999314174;0.0651400999922771;0.06726000001071952
114;0.07805019998340867;0.08229419999406673;0.0798372440005187;0.07893220000551082;0.07993949999217875;0.08061480001197197
129;0.09772119999979623;0.10427559999516234;0.10094278800417669;0.09938710002461448;0.10099949999130331;0.10237110001617111
145;0.12222190000466071;0.12774530000751838;0.12544098000158554;0.12505269999383017;0.12545709998812526;0.1267496999935247
162;0.15111240002443083;0.1589803000097163;0.15536987599916757;0.1537452999909874;0.15535450002062134;0.15700079998350702
183;0.19262459999299608;0.20185610000044107;0.19651644799741916;0.1947179000126198;0.1965265000180807;0.19771619999664836
205;0.24444249999942258;0.2528847999928985;0.24719937999849206;0.2460473999963142;0.24677019999944605;0.2477290999959223
231;0.3027029000222683;0.32175539998570457;0.30891596799716353;0.30613489999086596;0.3083698999835178;0.3101375999976881
259;0.3805720999953337;0.4226168000022881;0.39352619200129996;0.3855011999839917;0.38796379999257624;0.4031241000047885
291;0.48135349998483434;0.5428288000111934;0.5002084200002719;0.4885474000184331;0.49190739999176003;0.505827799992403
327;0.6179428999894299;0.665183100005379;0.6419966799975373;0.6352484000090044;0.6411616999830585;0.6497670999960974
367;0.7635854000109248;0.8305885999870952;0.7896912160015199;0.7687168999982532;0.7786512000020593;0.8080069999850821
413;0.9862873999809381;1.0693214000202715;1.0232790960022249;1.0164148000185378;1.0234467999835033;1.0286777000001166
464;1.213097600004403;1.3315883000032045;1.243954736001324;1.2234846999926958;1.2335742999857757;1.2505898000090383
